Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

08:13:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:13:54 AM  1000   2957558  209.90    5.94    0.00    0.00  215.84     0  java
08:13:55 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:13:56 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:13:57 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:13:58 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:13:59 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:14:00 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:14:01 AM  1000   2957558    0.00    0.00    0.00    0.00    0.00     0  java
08:14:02 AM  1000   2957558  195.00   15.00    0.00    0.00  210.00     0  java
08:14:03 AM  1000   2957558  374.00   16.00    0.00    0.00  390.00     0  java
08:14:04 AM  1000   2957558  378.00   17.00    0.00    0.00  395.00     0  java
08:14:05 AM  1000   2957558  378.00   17.00    0.00    0.00  395.00     0  java
08:14:06 AM  1000   2957558  377.00   17.00    0.00    0.00  394.00     0  java
08:14:07 AM  1000   2957558  374.00   20.00    0.00    0.00  394.00     0  java
08:14:08 AM  1000   2957558  365.00   29.00    0.00    0.00  394.00     0  java
08:14:09 AM  1000   2957558  367.00   26.00    0.00    0.00  393.00     0  java
08:14:10 AM  1000   2957558  370.00   23.00    0.00    0.00  393.00     0  java
08:14:11 AM  1000   2957558  363.00   30.00    0.00    0.00  393.00     0  java
08:14:12 AM  1000   2957558  361.00   31.00    0.00    0.00  392.00     0  java
08:14:13 AM  1000   2957558  347.00   42.00    0.00    0.00  389.00     0  java
08:14:14 AM  1000   2957558  348.00   43.00    0.00    0.00  391.00     0  java
08:14:15 AM  1000   2957558  337.00   53.00    0.00    0.00  390.00     0  java
08:14:16 AM  1000   2957558  328.00   59.00    0.00    0.00  387.00     0  java
08:14:17 AM  1000   2957558  314.00   74.00    0.00    0.00  388.00     0  java
08:14:18 AM  1000   2957558  286.00   97.00    0.00    0.00  383.00     0  java
08:14:19 AM  1000   2957558  276.00  109.00    0.00    0.00  385.00     0  java
08:14:20 AM  1000   2957558  275.00  109.00    0.00    0.00  384.00     0  java
08:14:21 AM  1000   2957558  271.00  112.00    0.00    0.00  383.00     0  java
08:14:22 AM  1000   2957558  264.00  118.00    0.00    0.00  382.00     0  java
08:14:23 AM  1000   2957558  265.00  119.00    0.00    0.00  384.00     0  java
08:14:24 AM  1000   2957558  267.00  117.00    0.00    0.00  384.00     0  java
08:14:25 AM  1000   2957558  275.00  109.00    0.00    0.00  384.00     0  java
08:14:26 AM  1000   2957558  267.00  116.00    0.00    0.00  383.00     0  java
08:14:27 AM  1000   2957558  257.00  125.00    0.00    0.00  382.00     0  java
08:14:28 AM  1000   2957558  256.00  126.00    0.00    0.00  382.00     0  java
08:14:29 AM  1000   2957558  262.00  120.00    0.00    0.00  382.00     0  java
08:14:30 AM  1000   2957558  246.00  135.00    0.00    0.00  381.00     0  java
08:14:31 AM  1000   2957558  256.00  128.00    0.00    0.00  384.00     0  java
08:14:32 AM  1000   2957558  258.00  125.00    0.00    0.00  383.00     0  java
08:14:33 AM  1000   2957558  247.00  134.00    0.00    0.00  381.00     0  java
08:14:34 AM  1000   2957558  240.00  141.00    0.00    0.00  381.00     0  java
08:14:35 AM  1000   2957558  224.00  157.00    0.00    0.00  381.00     0  java
08:14:36 AM  1000   2957558  219.00  159.00    0.00    0.00  378.00     0  java
08:14:37 AM  1000   2957558  224.00  157.00    0.00    0.00  381.00     0  java
08:14:38 AM  1000   2957558  210.00  170.00    0.00    0.00  380.00     0  java
08:14:39 AM  1000   2957558  199.00  179.00    0.00    0.00  378.00     0  java
08:14:40 AM  1000   2957558  208.00  171.00    0.00    0.00  379.00     0  java
08:14:41 AM  1000   2957558  193.00  186.00    0.00    0.00  379.00     0  java
08:14:42 AM  1000   2957558  189.00  188.00    0.00    0.00  377.00     0  java
08:14:43 AM  1000   2957558  190.00  188.00    0.00    0.00  378.00     0  java
