Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

09:03:31 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:03:32 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:33 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:34 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:35 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:36 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:37 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:38 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:39 AM  1000   2990249    0.00    0.00    0.00    0.00    0.00     2  quarkus3-runner
09:03:40 AM  1000   2990249  185.00   97.00    0.00    0.00  282.00     2  quarkus3-runner
09:03:41 AM  1000   2990249  244.00  128.00    0.00    0.00  372.00     2  quarkus3-runner
09:03:42 AM  1000   2990249  243.00  127.00    0.00    0.00  370.00     2  quarkus3-runner
09:03:43 AM  1000   2990249  249.00  128.00    0.00    0.00  377.00     2  quarkus3-runner
09:03:44 AM  1000   2990249  250.00  126.00    0.00    0.00  376.00     2  quarkus3-runner
09:03:45 AM  1000   2990249  244.00  126.00    0.00    0.00  370.00     2  quarkus3-runner
09:03:46 AM  1000   2990249  248.00  124.00    0.00    0.00  372.00     2  quarkus3-runner
09:03:47 AM  1000   2990249  249.00  120.00    0.00    0.00  369.00     2  quarkus3-runner
09:03:48 AM  1000   2990249  243.00  131.00    0.00    0.00  374.00     2  quarkus3-runner
09:03:49 AM  1000   2990249  244.00  125.00    0.00    0.00  369.00     2  quarkus3-runner
09:03:50 AM  1000   2990249  249.00  125.00    0.00    0.00  374.00     2  quarkus3-runner
09:03:51 AM  1000   2990249  241.00  124.00    0.00    0.00  365.00     2  quarkus3-runner
09:03:52 AM  1000   2990249  247.00  126.00    0.00    0.00  373.00     2  quarkus3-runner
09:03:53 AM  1000   2990249  242.00  123.00    0.00    0.00  365.00     2  quarkus3-runner
09:03:54 AM  1000   2990249  239.00  124.00    0.00    0.00  363.00     2  quarkus3-runner
09:03:55 AM  1000   2990249  246.00  124.00    0.00    0.00  370.00     2  quarkus3-runner
09:03:56 AM  1000   2990249  242.00  124.00    0.00    0.00  366.00     2  quarkus3-runner
09:03:57 AM  1000   2990249  244.00  121.00    0.00    0.00  365.00     2  quarkus3-runner
09:03:58 AM  1000   2990249  236.00  128.00    0.00    0.00  364.00     2  quarkus3-runner
09:03:59 AM  1000   2990249  245.00  126.00    0.00    0.00  371.00     2  quarkus3-runner
09:04:00 AM  1000   2990249  240.00  124.00    0.00    0.00  364.00     2  quarkus3-runner
09:04:01 AM  1000   2990249  245.00  120.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:02 AM  1000   2990249  246.00  118.00    0.00    0.00  364.00     2  quarkus3-runner
09:04:03 AM  1000   2990249  250.00  123.00    0.00    0.00  373.00     2  quarkus3-runner
09:04:04 AM  1000   2990249  240.00  125.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:05 AM  1000   2990249  244.00  121.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:06 AM  1000   2990249  244.00  126.00    0.00    0.00  370.00     2  quarkus3-runner
09:04:07 AM  1000   2990249  242.00  123.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:08 AM  1000   2990249  241.00  126.00    0.00    0.00  367.00     2  quarkus3-runner
09:04:09 AM  1000   2990249  255.00  114.00    0.00    0.00  369.00     2  quarkus3-runner
09:04:10 AM  1000   2990249  243.00  122.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:11 AM  1000   2990249  242.00  122.00    0.00    0.00  364.00     2  quarkus3-runner
09:04:12 AM  1000   2990249  245.00  127.00    0.00    0.00  372.00     2  quarkus3-runner
09:04:13 AM  1000   2990249  243.00  121.00    0.00    0.00  364.00     2  quarkus3-runner
09:04:14 AM  1000   2990249  241.00  126.00    0.00    0.00  367.00     2  quarkus3-runner
09:04:15 AM  1000   2990249  244.00  122.00    0.00    0.00  366.00     2  quarkus3-runner
09:04:16 AM  1000   2990249  241.00  124.00    0.00    0.00  365.00     2  quarkus3-runner
09:04:17 AM  1000   2990249  246.00  124.00    0.00    0.00  370.00     2  quarkus3-runner
09:04:18 AM  1000   2990249  242.00  122.00    0.00    0.00  364.00     2  quarkus3-runner
09:04:19 AM  1000   2990249  244.00  123.00    0.00    0.00  367.00     2  quarkus3-runner
