Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

08:37:36 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:37:37 AM  1000   2975196  193.00    6.00    0.00    0.00  199.00     0  java
08:37:38 AM  1000   2975196    8.00    0.00    0.00    0.00    8.00     0  java
08:37:39 AM  1000   2975196    0.00    0.00    0.00    0.00    0.00     0  java
08:37:40 AM  1000   2975196    0.00    0.00    0.00    0.00    0.00     0  java
08:37:41 AM  1000   2975196    0.00    0.00    0.00    0.00    0.00     0  java
08:37:42 AM  1000   2975196    0.00    0.00    0.00    0.00    0.00     0  java
08:37:43 AM  1000   2975196    0.00    0.00    0.00    0.00    0.00     0  java
08:37:44 AM  1000   2975196   15.00    1.00    0.00    0.00   16.00     0  java
08:37:45 AM  1000   2975196  342.00   14.00    0.00    0.00  356.00     0  java
08:37:46 AM  1000   2975196  368.00   14.00    0.00    0.00  382.00     0  java
08:37:47 AM  1000   2975196  374.00   20.00    0.00    0.00  394.00     0  java
08:37:48 AM  1000   2975196  369.00   22.00    0.00    0.00  391.00     0  java
08:37:49 AM  1000   2975196  363.00   28.00    0.00    0.00  391.00     0  java
08:37:50 AM  1000   2975196  344.00   41.00    0.00    0.00  385.00     0  java
08:37:51 AM  1000   2975196  345.00   40.00    0.00    0.00  385.00     0  java
08:37:52 AM  1000   2975196  351.00   38.00    0.00    0.00  389.00     0  java
08:37:53 AM  1000   2975196  339.00   45.00    0.00    0.00  384.00     0  java
08:37:54 AM  1000   2975196  334.00   48.00    0.00    0.00  382.00     0  java
08:37:55 AM  1000   2975196  324.00   55.00    0.00    0.00  379.00     0  java
08:37:56 AM  1000   2975196  330.00   53.00    0.00    0.00  383.00     0  java
08:37:57 AM  1000   2975196  322.00   59.00    0.00    0.00  381.00     0  java
08:37:58 AM  1000   2975196  314.00   64.00    0.00    0.00  378.00     0  java
08:37:59 AM  1000   2975196  287.00   85.00    0.00    0.00  372.00     0  java
08:38:00 AM  1000   2975196  292.00   81.00    0.00    0.00  373.00     0  java
08:38:01 AM  1000   2975196  280.00   90.00    0.00    0.00  370.00     0  java
08:38:02 AM  1000   2975196  254.00  109.00    0.00    0.00  363.00     0  java
08:38:03 AM  1000   2975196  243.00  120.00    0.00    0.00  363.00     0  java
08:38:04 AM  1000   2975196  239.00  124.00    0.00    0.00  363.00     0  java
