Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

09:26:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:26:53 AM  1000   3010354  303.00    5.00    0.00    0.00  308.00     0  java
09:26:54 AM  1000   3010354  283.00    7.00    0.00    0.00  290.00     0  java
09:26:55 AM  1000   3010354  214.00    6.00    0.00    0.00  220.00     0  java
09:26:56 AM  1000   3010354  233.00    4.00    0.00    0.00  237.00     0  java
09:26:57 AM  1000   3010354  113.00    2.00    0.00    0.00  115.00     0  java
09:26:58 AM  1000   3010354    0.00    0.00    0.00    0.00    0.00     0  java
09:26:59 AM  1000   3010354    0.00    0.00    0.00    0.00    0.00     0  java
09:27:00 AM  1000   3010354    0.00    0.00    0.00    0.00    0.00     0  java
09:27:01 AM  1000   3010354  304.00   19.00    0.00    0.00  323.00     0  java
09:27:02 AM  1000   3010354  372.00   22.00    0.00    0.00  394.00     0  java
09:27:03 AM  1000   3010354  371.00   22.00    0.00    0.00  393.00     0  java
09:27:04 AM  1000   3010354  369.00   24.00    0.00    0.00  393.00     0  java
09:27:05 AM  1000   3010354  373.00   20.00    0.00    0.00  393.00     0  java
09:27:06 AM  1000   3010354  367.00   24.00    0.00    0.00  391.00     0  java
09:27:07 AM  1000   3010354  361.00   27.00    0.00    0.00  388.00     0  java
09:27:08 AM  1000   3010354  362.00   30.00    0.00    0.00  392.00     0  java
09:27:09 AM  1000   3010354  362.00   30.00    0.00    0.00  392.00     0  java
09:27:10 AM  1000   3010354  361.00   31.00    0.00    0.00  392.00     0  java
09:27:11 AM  1000   3010354  351.00   40.00    0.00    0.00  391.00     0  java
09:27:12 AM  1000   3010354  349.00   41.00    0.00    0.00  390.00     0  java
09:27:13 AM  1000   3010354  349.00   42.00    0.00    0.00  391.00     0  java
09:27:14 AM  1000   3010354  350.00   42.00    0.00    0.00  392.00     0  java
09:27:15 AM  1000   3010354  350.00   40.00    0.00    0.00  390.00     0  java
09:27:16 AM  1000   3010354  350.00   41.00    0.00    0.00  391.00     0  java
09:27:17 AM  1000   3010354  342.00   48.00    0.00    0.00  390.00     0  java
09:27:18 AM  1000   3010354  341.00   49.00    0.00    0.00  390.00     0  java
09:27:19 AM  1000   3010354  343.00   46.00    0.00    0.00  389.00     0  java
09:27:20 AM  1000   3010354  339.00   50.00    0.00    0.00  389.00     0  java
09:27:21 AM  1000   3010354  342.00   48.00    0.00    0.00  390.00     0  java
09:27:22 AM  1000   3010354  336.00   53.00    0.00    0.00  389.00     0  java
09:27:23 AM  1000   3010354  333.00   57.00    0.00    0.00  390.00     0  java
09:27:24 AM  1000   3010354  325.00   64.00    0.00    0.00  389.00     0  java
09:27:25 AM  1000   3010354  327.00   61.00    0.00    0.00  388.00     0  java
09:27:26 AM  1000   3010354  328.00   61.00    0.00    0.00  389.00     0  java
09:27:27 AM  1000   3010354  327.00   62.00    0.00    0.00  389.00     0  java
09:27:28 AM  1000   3010354  326.00   61.00    0.00    0.00  387.00     0  java
09:27:29 AM  1000   3010354  326.00   63.00    0.00    0.00  389.00     0  java
09:27:30 AM  1000   3010354  324.00   64.00    0.00    0.00  388.00     0  java
09:27:31 AM  1000   3010354  325.00   64.00    0.00    0.00  389.00     0  java
09:27:32 AM  1000   3010354  321.00   67.00    0.00    0.00  388.00     0  java
09:27:33 AM  1000   3010354  317.00   68.00    0.00    0.00  385.00     0  java
09:27:34 AM  1000   3010354  312.00   73.00    0.00    0.00  385.00     0  java
09:27:35 AM  1000   3010354  311.00   76.00    0.00    0.00  387.00     0  java
09:27:36 AM  1000   3010354  297.00   88.00    0.00    0.00  385.00     0  java
09:27:37 AM  1000   3010354  284.00   99.00    0.00    0.00  383.00     0  java
09:27:38 AM  1000   3010354  286.00   98.00    0.00    0.00  384.00     0  java
09:27:39 AM  1000   3010354  284.00   98.00    0.00    0.00  382.00     0  java
09:27:40 AM  1000   3010354  282.00   96.00    0.00    0.00  378.00     0  java
09:27:41 AM  1000   3010354  277.00  106.00    0.00    0.00  383.00     0  java
09:27:42 AM  1000   3010354  283.00  100.00    0.00    0.00  383.00     0  java
09:27:43 AM  1000   3010354  282.00  101.00    0.00    0.00  383.00     0  java
09:27:44 AM  1000   3010354  286.00   98.00    0.00    0.00  384.00     0  java
09:27:45 AM  1000   3010354  272.00  110.00    0.00    0.00  382.00     0  java
09:27:46 AM  1000   3010354  278.00  104.00    0.00    0.00  382.00     0  java
09:27:47 AM  1000   3010354  279.00  104.00    0.00    0.00  383.00     0  java
09:27:48 AM  1000   3010354  274.00  109.00    0.00    0.00  383.00     0  java
09:27:49 AM  1000   3010354  277.00  106.00    0.00    0.00  383.00     0  java
09:27:50 AM  1000   3010354  271.00  110.00    0.00    0.00  381.00     0  java
09:27:51 AM  1000   3010354  269.00  115.00    0.00    0.00  384.00     0  java
09:27:52 AM  1000   3010354  271.00  111.00    0.00    0.00  382.00     0  java
09:27:53 AM  1000   3010354  275.00  108.00    0.00    0.00  383.00     0  java
09:27:54 AM  1000   3010354  276.00  106.00    0.00    0.00  382.00     0  java
09:27:55 AM  1000   3010354  270.00  112.00    0.00    0.00  382.00     0  java
09:27:56 AM  1000   3010354  274.00  108.00    0.00    0.00  382.00     0  java
09:27:57 AM  1000   3010354  264.00  117.00    0.00    0.00  381.00     0  java
09:27:58 AM  1000   3010354  262.00  120.00    0.00    0.00  382.00     0  java
09:27:59 AM  1000   3010354  263.00  118.00    0.00    0.00  381.00     0  java
09:28:00 AM  1000   3010354  264.00  117.00    0.00    0.00  381.00     0  java
09:28:01 AM  1000   3010354  262.00  120.00    0.00    0.00  382.00     0  java
09:28:02 AM  1000   3010354  263.00  118.00    0.00    0.00  381.00     0  java
09:28:03 AM  1000   3010354  256.00  124.00    0.00    0.00  380.00     0  java
09:28:04 AM  1000   3010354  258.00  122.00    0.00    0.00  380.00     0  java
09:28:05 AM  1000   3010354  247.00  133.00    0.00    0.00  380.00     0  java
09:28:06 AM  1000   3010354  249.00  133.00    0.00    0.00  382.00     0  java
09:28:07 AM  1000   3010354  236.00  144.00    0.00    0.00  380.00     0  java
09:28:08 AM  1000   3010354  239.00  139.00    0.00    0.00  378.00     0  java
09:28:09 AM  1000   3010354  246.00  135.00    0.00    0.00  381.00     0  java
09:28:10 AM  1000   3010354  246.00  133.00    0.00    0.00  379.00     0  java
09:28:11 AM  1000   3010354  237.00  143.00    0.00    0.00  380.00     0  java
09:28:12 AM  1000   3010354  229.00  149.00    0.00    0.00  378.00     0  java
09:28:13 AM  1000   3010354  224.00  158.00    0.00    0.00  382.00     0  java
09:28:14 AM  1000   3010354  230.00  150.00    0.00    0.00  380.00     0  java
09:28:15 AM  1000   3010354  234.00  144.00    0.00    0.00  378.00     0  java
09:28:16 AM  1000   3010354  217.00  161.00    0.00    0.00  378.00     0  java
09:28:17 AM  1000   3010354  223.00  152.00    0.00    0.00  375.00     0  java
09:28:18 AM  1000   3010354  210.00  168.00    0.00    0.00  378.00     0  java
09:28:19 AM  1000   3010354  234.00  142.00    0.00    0.00  376.00     0  java
09:28:20 AM  1000   3010354  209.00  169.00    0.00    0.00  378.00     0  java
09:28:21 AM  1000   3010354  205.00  171.00    0.00    0.00  376.00     0  java
