Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

09:57:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:57:25 AM  1000   3041276  283.00    4.00    0.00    0.00  287.00     0  java
09:57:26 AM  1000   3041276  275.00    3.00    0.00    0.00  278.00     0  java
09:57:27 AM  1000   3041276  179.00    9.00    0.00    0.00  188.00     0  java
09:57:28 AM  1000   3041276  269.00    3.00    0.00    0.00  272.00     0  java
09:57:29 AM  1000   3041276   40.00    0.00    0.00    0.00   40.00     0  java
09:57:30 AM  1000   3041276    0.00    0.00    0.00    0.00    0.00     0  java
09:57:31 AM  1000   3041276    1.00    0.00    0.00    0.00    1.00     0  java
09:57:32 AM  1000   3041276    0.00    0.00    0.00    0.00    0.00     0  java
09:57:33 AM  1000   3041276  344.00   20.00    0.00    0.00  364.00     0  java
09:57:34 AM  1000   3041276  370.00   24.00    0.00    0.00  394.00     0  java
09:57:35 AM  1000   3041276  365.00   28.00    0.00    0.00  393.00     0  java
09:57:36 AM  1000   3041276  372.00   21.00    0.00    0.00  393.00     0  java
09:57:37 AM  1000   3041276  371.00   21.00    0.00    0.00  392.00     0  java
09:57:38 AM  1000   3041276  370.00   24.00    0.00    0.00  394.00     0  java
09:57:39 AM  1000   3041276  364.00   25.00    0.00    0.00  389.00     0  java
09:57:40 AM  1000   3041276  362.00   27.00    0.00    0.00  389.00     0  java
09:57:41 AM  1000   3041276  360.00   33.00    0.00    0.00  393.00     0  java
09:57:42 AM  1000   3041276  356.00   35.00    0.00    0.00  391.00     0  java
09:57:43 AM  1000   3041276  358.00   34.00    0.00    0.00  392.00     0  java
09:57:44 AM  1000   3041276  357.00   34.00    0.00    0.00  391.00     0  java
09:57:45 AM  1000   3041276  357.00   35.00    0.00    0.00  392.00     0  java
09:57:46 AM  1000   3041276  350.00   41.00    0.00    0.00  391.00     0  java
09:57:47 AM  1000   3041276  347.00   44.00    0.00    0.00  391.00     0  java
09:57:48 AM  1000   3041276  354.00   34.00    0.00    0.00  388.00     0  java
09:57:49 AM  1000   3041276  346.00   45.00    0.00    0.00  391.00     0  java
09:57:50 AM  1000   3041276  345.00   46.00    0.00    0.00  391.00     0  java
09:57:51 AM  1000   3041276  341.00   49.00    0.00    0.00  390.00     0  java
09:57:52 AM  1000   3041276  343.00   45.00    0.00    0.00  388.00     0  java
09:57:53 AM  1000   3041276  340.00   50.00    0.00    0.00  390.00     0  java
09:57:54 AM  1000   3041276  343.00   47.00    0.00    0.00  390.00     0  java
09:57:55 AM  1000   3041276  334.00   54.00    0.00    0.00  388.00     0  java
09:57:56 AM  1000   3041276  331.00   58.00    0.00    0.00  389.00     0  java
09:57:57 AM  1000   3041276  332.00   56.00    0.00    0.00  388.00     0  java
09:57:58 AM  1000   3041276  327.00   60.00    0.00    0.00  387.00     0  java
09:57:59 AM  1000   3041276  331.00   57.00    0.00    0.00  388.00     0  java
09:58:00 AM  1000   3041276  330.00   58.00    0.00    0.00  388.00     0  java
09:58:01 AM  1000   3041276  327.00   61.00    0.00    0.00  388.00     0  java
09:58:02 AM  1000   3041276  325.00   62.00    0.00    0.00  387.00     0  java
09:58:03 AM  1000   3041276  326.00   61.00    0.00    0.00  387.00     0  java
09:58:04 AM  1000   3041276  321.00   67.00    0.00    0.00  388.00     0  java
09:58:05 AM  1000   3041276  325.00   61.00    0.00    0.00  386.00     0  java
09:58:06 AM  1000   3041276  321.00   66.00    0.00    0.00  387.00     0  java
09:58:07 AM  1000   3041276  316.00   69.00    0.00    0.00  385.00     0  java
09:58:08 AM  1000   3041276  312.00   74.00    0.00    0.00  386.00     0  java
09:58:09 AM  1000   3041276  307.00   78.00    0.00    0.00  385.00     0  java
09:58:10 AM  1000   3041276  297.00   87.00    0.00    0.00  384.00     0  java
09:58:11 AM  1000   3041276  298.00   87.00    0.00    0.00  385.00     0  java
09:58:12 AM  1000   3041276  292.00   92.00    0.00    0.00  384.00     0  java
09:58:13 AM  1000   3041276  291.00   93.00    0.00    0.00  384.00     0  java
09:58:14 AM  1000   3041276  286.00   98.00    0.00    0.00  384.00     0  java
09:58:15 AM  1000   3041276  281.00  102.00    0.00    0.00  383.00     0  java
09:58:16 AM  1000   3041276  273.00  108.00    0.00    0.00  381.00     0  java
09:58:17 AM  1000   3041276  273.00  111.00    0.00    0.00  384.00     0  java
09:58:18 AM  1000   3041276  274.00  108.00    0.00    0.00  382.00     0  java
09:58:19 AM  1000   3041276  275.00  108.00    0.00    0.00  383.00     0  java
09:58:20 AM  1000   3041276  280.00  102.00    0.00    0.00  382.00     0  java
09:58:21 AM  1000   3041276  273.00  111.00    0.00    0.00  384.00     0  java
09:58:22 AM  1000   3041276  279.00  102.00    0.00    0.00  381.00     0  java
09:58:23 AM  1000   3041276  266.00  117.00    0.00    0.00  383.00     0  java
09:58:24 AM  1000   3041276  264.00  118.00    0.00    0.00  382.00     0  java
09:58:25 AM  1000   3041276  267.00  116.00    0.00    0.00  383.00     0  java
