Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

11:09:03 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:09:04 AM  1000   3095793  284.00    4.00    0.00    0.00  288.00     0  java
11:09:05 AM  1000   3095793  289.00    6.00    0.00    0.00  295.00     0  java
11:09:06 AM  1000   3095793  288.00    8.00    0.00    0.00  296.00     0  java
11:09:07 AM  1000   3095793  183.00    8.00    0.00    0.00  191.00     0  java
11:09:08 AM  1000   3095793  265.00    2.00    0.00    0.00  267.00     0  java
11:09:09 AM  1000   3095793    0.00    0.00    0.00    0.00    0.00     0  java
11:09:10 AM  1000   3095793    0.00    0.00    0.00    0.00    0.00     0  java
11:09:11 AM  1000   3095793    0.00    0.00    0.00    0.00    0.00     0  java
11:09:12 AM  1000   3095793  108.00    3.00    0.00    0.00  111.00     0  java
11:09:13 AM  1000   3095793  361.00   10.00    0.00    0.00  371.00     0  java
11:09:14 AM  1000   3095793  373.00   13.00    0.00    0.00  386.00     0  java
11:09:15 AM  1000   3095793  378.00   12.00    0.00    0.00  390.00     0  java
11:09:16 AM  1000   3095793  377.00   13.00    0.00    0.00  390.00     0  java
11:09:17 AM  1000   3095793  375.00   14.00    0.00    0.00  389.00     0  java
11:09:18 AM  1000   3095793  369.00   21.00    0.00    0.00  390.00     0  java
11:09:19 AM  1000   3095793  358.00   29.00    0.00    0.00  387.00     0  java
11:09:20 AM  1000   3095793  352.00   34.00    0.00    0.00  386.00     0  java
11:09:21 AM  1000   3095793  351.00   33.00    0.00    0.00  384.00     0  java
11:09:22 AM  1000   3095793  356.00   31.00    0.00    0.00  387.00     0  java
11:09:23 AM  1000   3095793  351.00   36.00    0.00    0.00  387.00     0  java
11:09:24 AM  1000   3095793  350.00   34.00    0.00    0.00  384.00     0  java
11:09:25 AM  1000   3095793  347.00   38.00    0.00    0.00  385.00     0  java
11:09:26 AM  1000   3095793  346.00   37.00    0.00    0.00  383.00     0  java
11:09:27 AM  1000   3095793  344.00   39.00    0.00    0.00  383.00     0  java
11:09:28 AM  1000   3095793  324.00   55.00    0.00    0.00  379.00     0  java
11:09:29 AM  1000   3095793  321.00   57.00    0.00    0.00  378.00     0  java
11:09:30 AM  1000   3095793  313.00   64.00    0.00    0.00  377.00     0  java
11:09:31 AM  1000   3095793  305.00   69.00    0.00    0.00  374.00     0  java
11:09:32 AM  1000   3095793  298.00   72.00    0.00    0.00  370.00     0  java
11:09:33 AM  1000   3095793  267.00   98.00    0.00    0.00  365.00     0  java
11:09:34 AM  1000   3095793  266.00   97.00    0.00    0.00  363.00     0  java
11:09:35 AM  1000   3095793  264.00  102.00    0.00    0.00  366.00     0  java
11:09:36 AM  1000   3095793  264.00  101.00    0.00    0.00  365.00     0  java
11:09:37 AM  1000   3095793  261.00  105.00    0.00    0.00  366.00     0  java
11:09:38 AM  1000   3095793  265.00  101.00    0.00    0.00  366.00     0  java
