Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

10:26:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:26:23 AM 100998   3057373    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057374    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:23 AM 100998   3057376    0.00    0.00    0.00    0.00    0.00     4  postgres
10:26:23 AM 100998   3057377    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:23 AM 100998   3057446    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057451    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057452    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057453    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057454    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:23 AM 100998   3057467    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:23 AM 100998   3057468    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057469    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057470    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:23 AM 100998   3057471    0.00    0.00    0.00    0.00    0.00     6  postgres

10:26:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:26:24 AM 100998   3057373    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057374    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:24 AM 100998   3057376    0.00    0.00    0.00    0.00    0.00     4  postgres
10:26:24 AM 100998   3057377    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:24 AM 100998   3057446    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057451    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057452    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057453    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057454    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:24 AM 100998   3057467    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:24 AM 100998   3057468    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057469    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057470    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:24 AM 100998   3057471    0.00    0.00    0.00    0.00    0.00     6  postgres

10:26:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:26:25 AM 100998   3057373    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057374    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:25 AM 100998   3057376    0.00    0.00    0.00    0.00    0.00     4  postgres
10:26:25 AM 100998   3057377    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:25 AM 100998   3057446    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057451    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057452    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057453    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057454    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:25 AM 100998   3057467    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:25 AM 100998   3057468    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057469    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057470    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:25 AM 100998   3057471    0.00    0.00    0.00    0.00    0.00     6  postgres

10:26:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:26:26 AM 100998   3057373    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:26 AM 100998   3057374    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:26 AM 100998   3057376    0.00    0.00    0.00    0.00    0.00     4  postgres
10:26:26 AM 100998   3057377    0.00    0.00    0.00    0.00    0.00     5  postgres
10:26:26 AM 100998   3057446    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:26 AM 100998   3057451    0.00    0.00    0.00    0.00    0.00     6  postgres
10:26:26 AM 100998   3057452    0.00    0.00    0.00    0.00    0.00     6  postgres
