Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

09:41:57 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:41:58 AM 100998   3025422    0.00    0.00    0.00    0.00    0.00     6  postgres
09:41:58 AM 100998   3025423    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3025425    0.00    0.00    0.00    0.00    0.00     4  postgres
09:41:58 AM 100998   3025426    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026365    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026375    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026377    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026378    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026380    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026381    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026382    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026383    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026384    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:58 AM 100998   3026385    0.00    0.00    0.00    0.00    0.00     6  postgres

09:41:58 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:41:59 AM 100998   3025422    0.00    0.00    0.00    0.00    0.00     6  postgres
09:41:59 AM 100998   3025423    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3025425    0.00    0.00    0.00    0.00    0.00     4  postgres
09:41:59 AM 100998   3025426    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026365    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026375    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026377    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026378    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026380    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026381    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026382    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026383    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026384    0.00    0.00    0.00    0.00    0.00     5  postgres
09:41:59 AM 100998   3026385    0.00    0.00    0.00    0.00    0.00     6  postgres

09:41:59 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:42:00 AM 100998   3025422    0.00    0.00    0.00    0.00    0.00     6  postgres
09:42:00 AM 100998   3025423    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3025425    0.00    0.00    0.00    0.00    0.00     4  postgres
09:42:00 AM 100998   3025426    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026365    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026375    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026377    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026378    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026380    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026381    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026382    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026383    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026384    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:00 AM 100998   3026385    0.00    0.00    0.00    0.00    0.00     6  postgres

09:42:00 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:42:01 AM 100998   3025422    0.00    0.00    0.00    0.00    0.00     6  postgres
09:42:01 AM 100998   3025423    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:01 AM 100998   3025425    0.00    0.00    0.00    0.00    0.00     4  postgres
09:42:01 AM 100998   3025426    0.00    0.00    0.00    0.00    0.00     5  postgres
09:42:01 AM 100998   3026365    0.00    0.00    0.00    0.00    0.00     5  postgres
