Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

10:45:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:39 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:39 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:39 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:39 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:39 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:39 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:39 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:39 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     6  postgres

10:45:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:40 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:40 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:40 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:40 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:40 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:40 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:40 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:40 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     6  postgres

10:45:40 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:41 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:41 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:41 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:41 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:41 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:41 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:41 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:41 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     6  postgres

10:45:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:42 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:42 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:42 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:42 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:42 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:42 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:42 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:42 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     6  postgres

10:45:42 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:43 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:43 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:43 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:43 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:43 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:43 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:43 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:43 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     6  postgres

10:45:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:44 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:44 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:44 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:44 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:44 AM 100998   3076046    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:44 AM 100998   3076079    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:44 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:44 AM 100998   3076082    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:44 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     4  postgres

10:45:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:45 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:45 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:45 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:45 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:45 AM 100998   3076046    1.00    0.00    0.00    0.00    1.00     4  postgres
10:45:45 AM 100998   3076073    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:45 AM 100998   3076074    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:45 AM 100998   3076075    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:45 AM 100998   3076076    0.00    0.00    0.00    0.00    0.00     4  postgres
10:45:45 AM 100998   3076077    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:45 AM 100998   3076079    1.00    0.00    0.00    0.00    1.00     5  postgres
10:45:45 AM 100998   3076080    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:45 AM 100998   3076082    1.00    0.00    0.00    0.00    1.00     6  postgres
10:45:45 AM 100998   3076083    0.00    0.00    0.00    0.00    0.00     4  postgres

10:45:45 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:46 AM 100998   3075123    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:46 AM 100998   3075124    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:46 AM 100998   3075126    0.00    0.00    0.00    0.00    0.00     6  postgres
10:45:46 AM 100998   3075127    0.00    0.00    0.00    0.00    0.00     5  postgres
10:45:46 AM 100998   3076046    0.00    1.00    0.00    0.00    1.00     6  postgres
10:45:46 AM 100998   3076073    1.00    0.00    0.00    0.00    1.00     6  postgres
10:45:46 AM 100998   3076074    1.00    1.00    0.00    0.00    2.00     4  postgres
10:45:46 AM 100998   3076075    1.00    1.00    0.00    0.00    2.00     6  postgres
10:45:46 AM 100998   3076076    1.00    0.00    0.00    0.00    1.00     4  postgres
10:45:46 AM 100998   3076077    1.00    0.00    0.00    0.00    1.00     6  postgres
10:45:46 AM 100998   3076079    0.00    1.00    0.00    0.00    1.00     5  postgres
