Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

11:33:14 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:15 AM 100998   3116447    0.00    0.00    0.00    0.00    0.00     6  postgres
11:33:15 AM 100998   3116448    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3116450    0.00    0.00    0.00    0.00    0.00     4  postgres
11:33:15 AM 100998   3116451    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117249    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117364    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117370    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117372    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117378    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117379    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117385    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117390    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:15 AM 100998   3117397    0.00    0.00    0.00    0.00    0.00     4  postgres
11:33:15 AM 100998   3117406    0.00    0.00    0.00    0.00    0.00     4  postgres

11:33:15 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:16 AM 100998   3116447    0.00    0.00    0.00    0.00    0.00     6  postgres
11:33:16 AM 100998   3116448    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3116450    0.00    0.00    0.00    0.00    0.00     4  postgres
11:33:16 AM 100998   3116451    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117249    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117364    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117370    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117372    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117378    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117379    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117385    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117390    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:16 AM 100998   3117397    0.00    0.00    0.00    0.00    0.00     4  postgres
11:33:16 AM 100998   3117406    0.00    0.00    0.00    0.00    0.00     4  postgres

