Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/14/2026 	_x86_64_	(64 CPU)

12:03:02 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:03 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:03 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:03 PM 100998   3132781    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132786    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132787    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132788    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132789    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132790    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132803    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132804    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132805    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:03 PM 100998   3132806    0.00    0.00    0.00    0.00    0.00     4  postgres

12:03:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:04 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:04 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:04 PM 100998   3132781    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132786    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132787    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132788    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132789    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132790    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132803    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132804    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132805    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:04 PM 100998   3132806    0.00    0.00    0.00    0.00    0.00     4  postgres

12:03:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:05 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:05 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:05 PM 100998   3132781    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132786    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132787    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132788    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132789    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132790    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132803    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132804    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132805    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:05 PM 100998   3132806    0.00    0.00    0.00    0.00    0.00     4  postgres

12:03:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:06 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:06 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:06 PM 100998   3132781    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132786    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132787    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132788    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132789    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132790    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132803    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132804    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132805    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:06 PM 100998   3132806    0.00    0.00    0.00    0.00    0.00     4  postgres

12:03:06 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:07 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:07 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:07 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:07 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:07 PM 100998   3132781    0.00    0.00    0.00    0.00    0.00     6  postgres
12:03:07 PM 100998   3132786    0.00    0.00    0.00    0.00    0.00     6  postgres
12:03:07 PM 100998   3132787    0.00    0.00    0.00    0.00    0.00     6  postgres
12:03:07 PM 100998   3132788    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:07 PM 100998   3132789    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:07 PM 100998   3132790    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:07 PM 100998   3132803    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:07 PM 100998   3132804    0.00    0.00    0.00    0.00    0.00     6  postgres
12:03:07 PM 100998   3132805    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:07 PM 100998   3132806    0.00    0.00    0.00    0.00    0.00     5  postgres

12:03:07 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:08 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:08 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:08 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:08 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:08 PM 100998   3132781    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:08 PM 100998   3132786    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:08 PM 100998   3132787    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:08 PM 100998   3132788    2.00    1.00    0.00    0.00    3.00     5  postgres
12:03:08 PM 100998   3132789    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:08 PM 100998   3132790    2.00    2.00    0.00    0.00    4.00     5  postgres
12:03:08 PM 100998   3132803    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:08 PM 100998   3132804    1.00    1.00    0.00    0.00    2.00     4  postgres
12:03:08 PM 100998   3132805    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:08 PM 100998   3132806    1.00    1.00    0.00    0.00    2.00     5  postgres

12:03:08 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:09 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:09 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:09 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:09 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:09 PM 100998   3132781    3.00    2.00    0.00    0.00    5.00     5  postgres
12:03:09 PM 100998   3132786    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:09 PM 100998   3132787    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:09 PM 100998   3132788    3.00    2.00    0.00    0.00    5.00     6  postgres
12:03:09 PM 100998   3132789    1.00    1.00    0.00    0.00    2.00     4  postgres
12:03:09 PM 100998   3132790    2.00    2.00    0.00    0.00    4.00     5  postgres
12:03:09 PM 100998   3132803    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:09 PM 100998   3132804    3.00    1.00    0.00    0.00    4.00     4  postgres
12:03:09 PM 100998   3132805    3.00    2.00    0.00    0.00    5.00     6  postgres
12:03:09 PM 100998   3132806    3.00    2.00    0.00    0.00    5.00     6  postgres

12:03:09 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:10 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:10 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:10 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:10 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:10 PM 100998   3132781    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:10 PM 100998   3132786    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:10 PM 100998   3132787    3.00    2.00    0.00    0.00    5.00     4  postgres
12:03:10 PM 100998   3132788    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:10 PM 100998   3132789    2.00    3.00    0.00    0.00    5.00     6  postgres
12:03:10 PM 100998   3132790    3.00    2.00    0.00    0.00    5.00     5  postgres
12:03:10 PM 100998   3132803    2.00    3.00    0.00    0.00    5.00     6  postgres
12:03:10 PM 100998   3132804    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:10 PM 100998   3132805    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:10 PM 100998   3132806    1.00    2.00    0.00    0.00    3.00     4  postgres

12:03:10 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:11 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:11 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:11 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:11 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:11 PM 100998   3132781    1.00    2.00    0.00    0.00    3.00     5  postgres
12:03:11 PM 100998   3132786    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:11 PM 100998   3132787    1.00    3.00    0.00    0.00    4.00     4  postgres
12:03:11 PM 100998   3132788    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:11 PM 100998   3132789    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:11 PM 100998   3132790    3.00    3.00    0.00    0.00    6.00     6  postgres
12:03:11 PM 100998   3132803    2.00    1.00    0.00    0.00    3.00     4  postgres
12:03:11 PM 100998   3132804    3.00    2.00    0.00    0.00    5.00     6  postgres
12:03:11 PM 100998   3132805    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:11 PM 100998   3132806    2.00    2.00    0.00    0.00    4.00     6  postgres

12:03:11 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:12 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:12 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:12 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:12 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:12 PM 100998   3132781    3.00    3.00    0.00    0.00    6.00     5  postgres
12:03:12 PM 100998   3132786    3.00    3.00    0.00    0.00    6.00     6  postgres
12:03:12 PM 100998   3132787    3.00    1.00    0.00    0.00    4.00     4  postgres
12:03:12 PM 100998   3132788    3.00    2.00    0.00    0.00    5.00     6  postgres
12:03:12 PM 100998   3132789    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:12 PM 100998   3132790    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:12 PM 100998   3132803    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:12 PM 100998   3132804    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:12 PM 100998   3132805    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:12 PM 100998   3132806    1.00    3.00    0.00    1.00    4.00     6  postgres

12:03:12 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:13 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:13 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:13 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:13 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:13 PM 100998   3132781    3.00    2.00    0.00    0.00    5.00     4  postgres
12:03:13 PM 100998   3132786    1.00    2.00    0.00    0.00    3.00     4  postgres
12:03:13 PM 100998   3132787    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:13 PM 100998   3132788    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:13 PM 100998   3132789    2.00    1.00    0.00    0.00    3.00     6  postgres
12:03:13 PM 100998   3132790    2.00    2.00    0.00    1.00    4.00     6  postgres
12:03:13 PM 100998   3132803    2.00    2.00    0.00    1.00    4.00     5  postgres
12:03:13 PM 100998   3132804    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:13 PM 100998   3132805    3.00    1.00    0.00    0.00    4.00     6  postgres
12:03:13 PM 100998   3132806    3.00    0.00    0.00    0.00    3.00     4  postgres

12:03:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:14 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:14 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:14 PM 100998   3132708    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:14 PM 100998   3132709    0.00    0.00    0.00    0.00    0.00     5  postgres
12:03:14 PM 100998   3132781    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:14 PM 100998   3132786    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:14 PM 100998   3132787    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:14 PM 100998   3132788    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:14 PM 100998   3132789    3.00    2.00    0.00    0.00    5.00     5  postgres
12:03:14 PM 100998   3132790    2.00    3.00    0.00    0.00    5.00     6  postgres
12:03:14 PM 100998   3132803    3.00    2.00    0.00    0.00    5.00     5  postgres
12:03:14 PM 100998   3132804    2.00    2.00    0.00    0.00    4.00     4  postgres
12:03:14 PM 100998   3132805    2.00    2.00    0.00    0.00    4.00     6  postgres
12:03:14 PM 100998   3132806    2.00    2.00    0.00    0.00    4.00     6  postgres

12:03:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:15 PM 100998   3132705    0.00    0.00    0.00    0.00    0.00     4  postgres
12:03:15 PM 100998   3132706    0.00    0.00    0.00    0.00    0.00     5  postgres
