procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 391319328      0 311704    0    0     1     1    0    0  0  0 100  0  0
 1  0      0 391232288      0 374592    0    0 62320     0 9373 7623  5  0 95  1  0
 2  0      0 391181184      0 379900    0    0  5384   980 9060 7216  3  1 96  0  0
 2  0      0 391128288      0 386552    0    0  4144    12 10776 5154  5  1 94  0  0
 3  0      0 391105376      0 398276    0    0 13064     4 5431 6760  3  0 96  0  0
 0  1      0 391037344      0 409884    0    0 14276    32 3980 5351  2  0 97  0  0
 0  0      0 390989760      0 413404    0    0  4864     4 2399 2481  2  0 98  0  0
 5  0      0 390972576      0 414952    0    0  1664   592 2824 4294  2  0 98  0  0
 4  0      0 390946880      0 416252    0    0   724   512 7182 15378  6  0 93  0  0
 7  0      0 390934528      0 416264    0    0     0     4 8008 25079  6  0 93  0  0
 8  0      0 390870496      0 416308    0    0    88     4 9254 28324  7  1 93  0  0
 8  0      0 390864704      0 416364    0    0     0    44 10841 35113  7  1 92  0  0
 7  0      0 390858400      0 416420    0    0    48     4 10997 39347  7  1 93  0  0
 8  0      0 390821600      0 416588    0    0    88     0 12528 47586  7  1 92  0  0
 9  0      0 390815552      0 416592    0    0     0    12 13820 58684  7  1 92  0  0
 6  0      0 390810304      0 416612    0    0     0     0 16472 74480  6  1 92  0  0
 6  0      0 390808256      0 416628    0    0     0     4 16965 82796  6  1 93  0  0
 6  0      0 390807776      0 416640    0    0     0    96 19602 97512  6  2 92  0  0
 8  0      0 390804736      0 416656    0    0     0    32 19216 96098  6  2 92  0  0
 8  0      0 390797440      0 416668    0    0     0     0 21307 106679  6  2 92  0  0
 7  0      0 390794496      0 416656    0    0     0    12 20054 108632  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390792768      0 416668    0    0     0     0 21453 108261  6  2 92  0  0
 6  0      0 390792384      0 416688    0    0     0     4 23198 114126  6  2 92  0  0
 6  0      0 390787136      0 416780    0    0     0    40 25228 125861  6  2 92  0  0
 8  0      0 390787296      0 416796    0    0     0    16 28314 150077  6  2 92  0  0
 9  0      0 390791040      0 416828    0    0     0     0 31920 173255  6  3 91  0  0
 8  0      0 390791584      0 416848    0    0    32   200 31346 175696  6  3 91  0  0
 8  0      0 390792000      0 416868    0    0     0     0 33445 175535  6  3 91  0  0
 7  0      0 390775104      0 416904    0    0     4    36 38761 215763  5  4 91  0  0
 6  0      0 390779008      0 416936    0    0     0    44 49580 225322  5  5 90  0  0
 7  0      0 390779744      0 416872    0    0     0     4 49552 229542  5  5 90  0  0
 5  0      0 390782016      0 416908    0    0     0    12 44588 228658  5  5 90  0  0
 7  0      0 390784096      0 416944    0    0     0     0 50037 230678  5  5 90  0  0
 7  0      0 390789600      0 416976    0    0     0   216 47978 232960  5  5 90  0  0
 6  0      0 390791040      0 417076    0    0     0     4 49755 231187  5  5 90  0  0
 7  0      0 390792224      0 417108    0    0     0    40 41782 231987  5  5 90  0  0
 5  0      0 390798368      0 417272    0    0    16     4 47978 230097  5  5 90  0  0
 8  0      0 390800352      0 417332    0    0     0     0 43830 236246  5  5 90  0  0
 8  0      0 390803168      0 417372    0    0    32   724 47141 235360  5  5 90  0  0
 5  0      0 390808672      0 417404    0    0     0     0 48452 236602  5  5 90  0  0
 8  0      0 390811968      0 417436    0    0     0     4 48519 230360  6  5 90  0  0
 6  0      0 390816992      0 417480    0    0     0    44 47478 239109  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
