Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

04:26:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:26:01 PM  all    4.70    0.00    0.67    0.47    0.06    0.05    0.00    0.00    0.00   94.05
04:26:01 PM    0   63.64    0.00    6.06    5.05    0.00    0.00    0.00    0.00    0.00   25.25
04:26:01 PM    1   90.10    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00    6.93
04:26:01 PM    2   38.78    0.00    2.04    5.10    1.02    0.00    0.00    0.00    0.00   53.06
04:26:01 PM    3   90.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
04:26:01 PM    4    0.98    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   96.08
04:26:01 PM    5    1.00    0.00    1.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00
04:26:01 PM    6    2.94    0.00    3.92    0.00    0.00    0.98    0.00    0.00    0.00   92.16
04:26:01 PM    7    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:26:01 PM    8    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:26:01 PM    9    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:26:01 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:26:01 PM   12    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:26:01 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   18    2.04    0.00    3.06   17.35    0.00    0.00    0.00    0.00    0.00   77.55
04:26:01 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:01 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
