Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

01:54:09 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:54:10 PM  1000   3310775  212.00    6.00    0.00    0.00  218.00     0  java
01:54:11 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:12 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:13 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:14 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:15 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:16 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:17 PM  1000   3310775    0.00    0.00    0.00    0.00    0.00     0  java
01:54:18 PM  1000   3310775  319.00   25.00    0.00    0.00  344.00     0  java
01:54:19 PM  1000   3310775  378.00   17.00    0.00    0.00  395.00     0  java
01:54:20 PM  1000   3310775  377.00   18.00    0.00    0.00  395.00     0  java
01:54:21 PM  1000   3310775  374.00   21.00    0.00    0.00  395.00     0  java
01:54:22 PM  1000   3310775  372.00   22.00    0.00    0.00  394.00     0  java
01:54:23 PM  1000   3310775  366.00   28.00    0.00    0.00  394.00     0  java
01:54:24 PM  1000   3310775  362.00   28.00    0.00    0.00  390.00     0  java
01:54:25 PM  1000   3310775  368.00   26.00    0.00    0.00  394.00     0  java
01:54:26 PM  1000   3310775  365.00   28.00    0.00    0.00  393.00     0  java
01:54:27 PM  1000   3310775  357.00   35.00    0.00    0.00  392.00     0  java
01:54:28 PM  1000   3310775  353.00   38.00    0.00    0.00  391.00     0  java
01:54:29 PM  1000   3310775  352.00   41.00    0.00    0.00  393.00     0  java
01:54:30 PM  1000   3310775  339.00   51.00    0.00    0.00  390.00     0  java
01:54:31 PM  1000   3310775  335.00   54.00    0.00    0.00  389.00     0  java
01:54:32 PM  1000   3310775  324.00   64.00    0.00    0.00  388.00     0  java
01:54:33 PM  1000   3310775  312.00   75.00    0.00    0.00  387.00     0  java
01:54:34 PM  1000   3310775  292.00   93.00    0.00    0.00  385.00     0  java
01:54:35 PM  1000   3310775  289.00   95.00    0.00    0.00  384.00     0  java
01:54:36 PM  1000   3310775  281.00  103.00    0.00    0.00  384.00     0  java
01:54:37 PM  1000   3310775  275.00  108.00    0.00    0.00  383.00     0  java
01:54:38 PM  1000   3310775  280.00  104.00    0.00    0.00  384.00     0  java
01:54:39 PM  1000   3310775  277.00  107.00    0.00    0.00  384.00     0  java
01:54:40 PM  1000   3310775  271.00  111.00    0.00    0.00  382.00     0  java
01:54:41 PM  1000   3310775  264.00  118.00    0.00    0.00  382.00     0  java
01:54:42 PM  1000   3310775  263.00  120.00    0.00    0.00  383.00     0  java
01:54:43 PM  1000   3310775  273.00  110.00    0.00    0.00  383.00     0  java
01:54:44 PM  1000   3310775  271.00  112.00    0.00    0.00  383.00     0  java
01:54:45 PM  1000   3310775  277.00  107.00    0.00    0.00  384.00     0  java
01:54:46 PM  1000   3310775  275.00  108.00    0.00    0.00  383.00     0  java
01:54:47 PM  1000   3310775  265.00  118.00    0.00    0.00  383.00     0  java
01:54:48 PM  1000   3310775  269.00  114.00    0.00    0.00  383.00     0  java
01:54:49 PM  1000   3310775  256.00  126.00    0.00    0.00  382.00     0  java
01:54:50 PM  1000   3310775  241.00  139.00    0.00    0.00  380.00     0  java
01:54:51 PM  1000   3310775  245.00  136.00    0.00    0.00  381.00     0  java
01:54:52 PM  1000   3310775  233.00  147.00    0.00    0.00  380.00     0  java
01:54:53 PM  1000   3310775  214.00  165.00    0.00    0.00  379.00     0  java
01:54:54 PM  1000   3310775  214.00  164.00    0.00    0.00  378.00     0  java
01:54:55 PM  1000   3310775  210.00  168.00    0.00    0.00  378.00     0  java
01:54:56 PM  1000   3310775  202.00  177.00    0.00    0.00  379.00     0  java
01:54:57 PM  1000   3310775  200.00  177.00    0.00    0.00  377.00     0  java
01:54:58 PM  1000   3310775  206.00  172.00    0.00    0.00  378.00     0  java
01:54:59 PM  1000   3310775  203.00  176.00    0.00    0.00  379.00     0  java
01:55:00 PM  1000   3310775  195.00  183.00    0.00    0.00  378.00     0  java
01:55:01 PM  1000   3310775  188.00  189.00    0.00    0.00  377.00     0  java
01:55:02 PM  1000   3310775  184.00  194.00    0.00    0.00  378.00     0  java
01:55:03 PM  1000   3310775  180.00  196.00    0.00    0.00  376.00     0  java
01:55:04 PM  1000   3310775  189.00  188.00    0.00    0.00  377.00     0  java
01:55:05 PM  1000   3310775  186.00  191.00    0.00    0.00  377.00     0  java
01:55:06 PM  1000   3310775  194.00  184.00    0.00    0.00  378.00     0  java
01:55:07 PM  1000   3310775  156.00  218.00    0.00    0.00  374.00     0  java
01:55:08 PM  1000   3310775  156.00  217.00    0.00    0.00  373.00     0  java
01:55:09 PM  1000   3310775  151.00  223.00    0.00    0.00  374.00     0  java
01:55:10 PM  1000   3310775  154.00  220.00    0.00    0.00  374.00     0  java
01:55:11 PM  1000   3310775  154.00  221.00    0.00    0.00  375.00     0  java
01:55:12 PM  1000   3310775  159.00  215.00    0.00    0.00  374.00     0  java
01:55:13 PM  1000   3310775  156.00  218.00    0.00    0.00  374.00     0  java
01:55:14 PM  1000   3310775  159.00  215.00    0.00    0.00  374.00     0  java
01:55:15 PM  1000   3310775  152.00  223.00    0.00    0.00  375.00     0  java
01:55:16 PM  1000   3310775  153.00  220.00    0.00    0.00  373.00     0  java
01:55:17 PM  1000   3310775  158.00  217.00    0.00    0.00  375.00     0  java
