Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

02:31:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:31:21 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:22 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:23 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:24 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:25 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:26 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:27 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:28 PM  1000   3336737    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
02:31:29 PM  1000   3336737  166.00  100.00    0.00    0.00  266.00     0  quarkus3-runner
02:31:30 PM  1000   3336737  240.00  132.00    0.00    0.00  372.00     0  quarkus3-runner
02:31:31 PM  1000   3336737  242.00  128.00    0.00    0.00  370.00     0  quarkus3-runner
02:31:32 PM  1000   3336737  245.00  132.00    0.00    0.00  377.00     0  quarkus3-runner
02:31:33 PM  1000   3336737  236.00  141.00    0.00    0.00  377.00     0  quarkus3-runner
02:31:34 PM  1000   3336737  236.00  134.00    0.00    0.00  370.00     0  quarkus3-runner
02:31:35 PM  1000   3336737  238.00  133.00    0.00    0.00  371.00     0  quarkus3-runner
02:31:36 PM  1000   3336737  238.00  131.00    0.00    0.00  369.00     0  quarkus3-runner
02:31:37 PM  1000   3336737  243.00  132.00    0.00    0.00  375.00     0  quarkus3-runner
02:31:38 PM  1000   3336737  239.00  133.00    0.00    0.00  372.00     0  quarkus3-runner
02:31:39 PM  1000   3336737  243.00  129.00    0.00    0.00  372.00     0  quarkus3-runner
02:31:40 PM  1000   3336737  239.00  125.00    0.00    0.00  364.00     0  quarkus3-runner
02:31:41 PM  1000   3336737  242.00  130.00    0.00    0.00  372.00     0  quarkus3-runner
02:31:42 PM  1000   3336737  234.00  131.00    0.00    0.00  365.00     0  quarkus3-runner
02:31:43 PM  1000   3336737  240.00  124.00    0.00    0.00  364.00     0  quarkus3-runner
02:31:44 PM  1000   3336737  237.00  133.00    0.00    0.00  370.00     0  quarkus3-runner
