Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

02:05:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:05:21 PM  1000   3321886  210.00    7.00    0.00    0.00  217.00     2  java
02:05:22 PM  1000   3321886    1.00    0.00    0.00    0.00    1.00     2  java
02:05:23 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:24 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:25 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:26 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:27 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:28 PM  1000   3321886    0.00    0.00    0.00    0.00    0.00     2  java
02:05:29 PM  1000   3321886  316.00   13.00    0.00    0.00  329.00     2  java
02:05:30 PM  1000   3321886  367.00   14.00    0.00    0.00  381.00     2  java
02:05:31 PM  1000   3321886  372.00   16.00    0.00    0.00  388.00     2  java
02:05:32 PM  1000   3321886  372.00   22.00    0.00    0.00  394.00     2  java
02:05:33 PM  1000   3321886  360.00   30.00    0.00    0.00  390.00     2  java
02:05:34 PM  1000   3321886  343.00   43.00    0.00    0.00  386.00     2  java
02:05:35 PM  1000   3321886  347.00   39.00    0.00    0.00  386.00     2  java
02:05:36 PM  1000   3321886  342.00   44.00    0.00    0.00  386.00     2  java
02:05:37 PM  1000   3321886  335.00   50.00    0.00    0.00  385.00     2  java
02:05:38 PM  1000   3321886  327.00   54.00    0.00    0.00  381.00     2  java
02:05:39 PM  1000   3321886  323.00   57.00    0.00    0.00  380.00     2  java
02:05:40 PM  1000   3321886  316.00   62.00    0.00    0.00  378.00     2  java
02:05:41 PM  1000   3321886  307.00   69.00    0.00    0.00  376.00     2  java
02:05:42 PM  1000   3321886  295.00   79.00    0.00    0.00  374.00     2  java
02:05:43 PM  1000   3321886  308.00   67.00    0.00    0.00  375.00     2  java
02:05:44 PM  1000   3321886  298.00   75.00    0.00    0.00  373.00     2  java
02:05:45 PM  1000   3321886  251.00  113.00    0.00    0.00  364.00     2  java
02:05:46 PM  1000   3321886  235.00  128.00    0.00    0.00  363.00     2  java
02:05:47 PM  1000   3321886  239.00  122.00    0.00    0.00  361.00     2  java
02:05:48 PM  1000   3321886  235.00  122.00    0.00    0.00  357.00     2  java
02:05:49 PM  1000   3321886  241.00  120.00    0.00    0.00  361.00     2  java
02:05:50 PM  1000   3321886  237.00  123.00    0.00    0.00  360.00     2  java
02:05:51 PM  1000   3321886  234.00  126.00    0.00    0.00  360.00     2  java
02:05:52 PM  1000   3321886  237.00  125.00    0.00    0.00  362.00     2  java
02:05:53 PM  1000   3321886  235.00  124.00    0.00    0.00  359.00     2  java
02:05:54 PM  1000   3321886  233.00  127.00    0.00    0.00  360.00     2  java
02:05:55 PM  1000   3321886  243.00  118.00    0.00    0.00  361.00     2  java
02:05:56 PM  1000   3321886  237.00  126.00    0.00    0.00  363.00     2  java
02:05:57 PM  1000   3321886  238.00  123.00    0.00    0.00  361.00     2  java
02:05:58 PM  1000   3321886  237.00  125.00    0.00    0.00  362.00     2  java
02:05:59 PM  1000   3321886  242.00  119.00    0.00    0.00  361.00     2  java
02:06:00 PM  1000   3321886  240.00  122.00    0.00    0.00  362.00     2  java
02:06:01 PM  1000   3321886  236.00  125.00    0.00    0.00  361.00     2  java
02:06:02 PM  1000   3321886  241.00  118.00    0.00    0.00  359.00     2  java
02:06:03 PM  1000   3321886  235.00  126.00    0.00    0.00  361.00     2  java
02:06:04 PM  1000   3321886  234.00  125.00    0.00    0.00  359.00     2  java
02:06:05 PM  1000   3321886  234.00  126.00    0.00    0.00  360.00     2  java
02:06:06 PM  1000   3321886  237.00  123.00    0.00    0.00  360.00     2  java
02:06:07 PM  1000   3321886  239.00  123.00    0.00    0.00  362.00     2  java
02:06:08 PM  1000   3321886  233.00  128.00    0.00    0.00  361.00     2  java
02:06:09 PM  1000   3321886  240.00  119.00    0.00    0.00  359.00     2  java
02:06:10 PM  1000   3321886  231.00  127.00    0.00    0.00  358.00     2  java
02:06:11 PM  1000   3321886  242.00  118.00    0.00    0.00  360.00     2  java
02:06:12 PM  1000   3321886  236.00  125.00    0.00    0.00  361.00     2  java
02:06:13 PM  1000   3321886  236.00  124.00    0.00    0.00  360.00     2  java
02:06:14 PM  1000   3321886  236.00  126.00    0.00    0.00  362.00     2  java
02:06:15 PM  1000   3321886  238.00  123.00    0.00    0.00  361.00     2  java
02:06:16 PM  1000   3321886  235.00  124.00    0.00    0.00  359.00     2  java
02:06:17 PM  1000   3321886  231.00  123.00    0.00    0.00  354.00     2  java
02:06:18 PM  1000   3321886  230.00  130.00    0.00    0.00  360.00     2  java
02:06:19 PM  1000   3321886  237.00  124.00    0.00    0.00  361.00     2  java
02:06:20 PM  1000   3321886  241.00  121.00    0.00    0.00  362.00     2  java
02:06:21 PM  1000   3321886  242.00  119.00    0.00    0.00  361.00     2  java
02:06:22 PM  1000   3321886  235.00  128.00    0.00    0.00  363.00     2  java
02:06:23 PM  1000   3321886  236.00  125.00    0.00    0.00  361.00     2  java
02:06:24 PM  1000   3321886  238.00  121.00    0.00    0.00  359.00     2  java
02:06:25 PM  1000   3321886  230.00  131.00    0.00    0.00  361.00     2  java
02:06:26 PM  1000   3321886  242.00  119.00    0.00    0.00  361.00     2  java
02:06:27 PM  1000   3321886  235.00  125.00    0.00    0.00  360.00     2  java
02:06:28 PM  1000   3321886  234.00  125.00    0.00    0.00  359.00     2  java
02:06:29 PM  1000   3321886  230.00  128.00    0.00    0.00  358.00     2  java
02:06:30 PM  1000   3321886  235.00  123.00    0.00    0.00  358.00     2  java
02:06:31 PM  1000   3321886  239.00  122.00    0.00    0.00  361.00     2  java
02:06:32 PM  1000   3321886  236.00  123.00    0.00    0.00  359.00     2  java
02:06:33 PM  1000   3321886  239.00  121.00    0.00    0.00  360.00     2  java
02:06:34 PM  1000   3321886  236.00  125.00    0.00    0.00  361.00     2  java
02:06:35 PM  1000   3321886  234.00  127.00    0.00    0.00  361.00     2  java
02:06:36 PM  1000   3321886  238.00  121.00    0.00    0.00  359.00     2  java
02:06:37 PM  1000   3321886  238.00  122.00    0.00    0.00  360.00     2  java
02:06:38 PM  1000   3321886  237.00  124.00    0.00    0.00  361.00     2  java
02:06:39 PM  1000   3321886  239.00  124.00    0.00    0.00  363.00     2  java
02:06:40 PM  1000   3321886  232.00  126.00    0.00    0.00  358.00     2  java
02:06:41 PM  1000   3321886  237.00  121.00    0.00    0.00  358.00     2  java
