Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

03:13:56 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:13:57 PM  1000   3374338  293.00    5.00    0.00    0.00  298.00     0  java
03:13:58 PM  1000   3374338  296.00    8.00    0.00    0.00  304.00     0  java
03:13:59 PM  1000   3374338  212.00    5.00    0.00    0.00  217.00     0  java
03:14:00 PM  1000   3374338  238.00    4.00    0.00    0.00  242.00     0  java
03:14:01 PM  1000   3374338  164.00    2.00    0.00    0.00  166.00     0  java
03:14:02 PM  1000   3374338    0.00    0.00    0.00    0.00    0.00     0  java
03:14:03 PM  1000   3374338    0.00    0.00    0.00    0.00    0.00     0  java
03:14:04 PM  1000   3374338    0.00    0.00    0.00    0.00    0.00     0  java
03:14:05 PM  1000   3374338  236.00    9.00    0.00    0.00  245.00     0  java
03:14:06 PM  1000   3374338  364.00    9.00    0.00    0.00  373.00     0  java
03:14:07 PM  1000   3374338  372.00   16.00    0.00    0.00  388.00     0  java
03:14:08 PM  1000   3374338  375.00   14.00    0.00    0.00  389.00     0  java
03:14:09 PM  1000   3374338  374.00   17.00    0.00    0.00  391.00     0  java
03:14:10 PM  1000   3374338  375.00   17.00    0.00    0.00  392.00     0  java
03:14:11 PM  1000   3374338  363.00   25.00    0.00    0.00  388.00     0  java
03:14:12 PM  1000   3374338  353.00   31.00    0.00    0.00  384.00     0  java
03:14:13 PM  1000   3374338  350.00   33.00    0.00    0.00  383.00     0  java
03:14:14 PM  1000   3374338  350.00   36.00    0.00    0.00  386.00     0  java
03:14:15 PM  1000   3374338  347.00   37.00    0.00    0.00  384.00     0  java
03:14:16 PM  1000   3374338  342.00   42.00    0.00    0.00  384.00     0  java
03:14:17 PM  1000   3374338  352.00   33.00    0.00    0.00  385.00     0  java
03:14:18 PM  1000   3374338  336.00   46.00    0.00    0.00  382.00     0  java
03:14:19 PM  1000   3374338  337.00   46.00    0.00    0.00  383.00     0  java
03:14:20 PM  1000   3374338  332.00   49.00    0.00    0.00  381.00     0  java
03:14:21 PM  1000   3374338  322.00   56.00    0.00    0.00  378.00     0  java
03:14:22 PM  1000   3374338  318.00   58.00    0.00    0.00  376.00     0  java
03:14:23 PM  1000   3374338  284.00   84.00    0.00    0.00  368.00     0  java
03:14:24 PM  1000   3374338  272.00   94.00    0.00    0.00  366.00     0  java
03:14:25 PM  1000   3374338  269.00   96.00    0.00    0.00  365.00     0  java
03:14:26 PM  1000   3374338  267.00   97.00    0.00    0.00  364.00     0  java
