Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

04:17:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:17:39 PM  1000   3424382  296.00    5.00    0.00    0.00  301.00     1  java
04:17:40 PM  1000   3424382  284.00    7.00    0.00    0.00  291.00     1  java
04:17:41 PM  1000   3424382  294.00    7.00    0.00    0.00  301.00     1  java
04:17:42 PM  1000   3424382  166.00    8.00    0.00    0.00  174.00     1  java
04:17:43 PM  1000   3424382  273.00    4.00    0.00    0.00  277.00     1  java
04:17:44 PM  1000   3424382    3.00    0.00    0.00    0.00    3.00     1  java
04:17:45 PM  1000   3424382    0.00    0.00    0.00    0.00    0.00     1  java
04:17:46 PM  1000   3424382    0.00    0.00    0.00    0.00    0.00     1  java
04:17:47 PM  1000   3424382   86.00    4.00    0.00    0.00   90.00     1  java
04:17:48 PM  1000   3424382  371.00   18.00    0.00    0.00  389.00     1  java
04:17:49 PM  1000   3424382  377.00   17.00    0.00    0.00  394.00     1  java
04:17:50 PM  1000   3424382  376.00   17.00    0.00    0.00  393.00     1  java
04:17:51 PM  1000   3424382  375.00   19.00    0.00    0.00  394.00     1  java
04:17:52 PM  1000   3424382  376.00   17.00    0.00    0.00  393.00     1  java
04:17:53 PM  1000   3424382  373.00   19.00    0.00    0.00  392.00     1  java
04:17:54 PM  1000   3424382  375.00   18.00    0.00    0.00  393.00     1  java
04:17:55 PM  1000   3424382  374.00   20.00    0.00    0.00  394.00     1  java
04:17:56 PM  1000   3424382  373.00   19.00    0.00    0.00  392.00     1  java
04:17:57 PM  1000   3424382  373.00   20.00    0.00    0.00  393.00     1  java
04:17:58 PM  1000   3424382  373.00   19.00    0.00    0.00  392.00     1  java
04:17:59 PM  1000   3424382  372.00   21.00    0.00    0.00  393.00     1  java
04:18:00 PM  1000   3424382  372.00   20.00    0.00    0.00  392.00     1  java
04:18:01 PM  1000   3424382  369.00   24.00    0.00    0.00  393.00     1  java
04:18:02 PM  1000   3424382  369.00   23.00    0.00    0.00  392.00     1  java
04:18:03 PM  1000   3424382  366.00   26.00    0.00    0.00  392.00     1  java
04:18:04 PM  1000   3424382  368.00   25.00    0.00    0.00  393.00     1  java
04:18:05 PM  1000   3424382  367.00   25.00    0.00    0.00  392.00     1  java
04:18:06 PM  1000   3424382  366.00   26.00    0.00    0.00  392.00     1  java
04:18:07 PM  1000   3424382  366.00   27.00    0.00    0.00  393.00     1  java
04:18:08 PM  1000   3424382  364.00   28.00    0.00    0.00  392.00     1  java
04:18:09 PM  1000   3424382  367.00   25.00    0.00    0.00  392.00     1  java
04:18:10 PM  1000   3424382  368.00   24.00    0.00    0.00  392.00     1  java
04:18:11 PM  1000   3424382  364.00   28.00    0.00    0.00  392.00     1  java
04:18:12 PM  1000   3424382  364.00   28.00    0.00    0.00  392.00     1  java
04:18:13 PM  1000   3424382  363.00   29.00    0.00    0.00  392.00     1  java
04:18:14 PM  1000   3424382  363.00   28.00    0.00    0.00  391.00     1  java
04:18:15 PM  1000   3424382  364.00   27.00    0.00    0.00  391.00     1  java
04:18:16 PM  1000   3424382  361.00   31.00    0.00    0.00  392.00     1  java
04:18:17 PM  1000   3424382  357.00   34.00    0.00    0.00  391.00     1  java
04:18:18 PM  1000   3424382  361.00   30.00    0.00    0.00  391.00     1  java
04:18:19 PM  1000   3424382  359.00   32.00    0.00    0.00  391.00     1  java
04:18:20 PM  1000   3424382  359.00   32.00    0.00    0.00  391.00     1  java
04:18:21 PM  1000   3424382  362.00   29.00    0.00    0.00  391.00     1  java
04:18:22 PM  1000   3424382  362.00   30.00    0.00    0.00  392.00     1  java
04:18:23 PM  1000   3424382  356.00   35.00    0.00    0.00  391.00     1  java
04:18:24 PM  1000   3424382  356.00   35.00    0.00    0.00  391.00     1  java
04:18:25 PM  1000   3424382  360.00   31.00    0.00    0.00  391.00     1  java
04:18:26 PM  1000   3424382  357.00   35.00    0.00    0.00  392.00     1  java
04:18:27 PM  1000   3424382  356.00   34.00    0.00    0.00  390.00     1  java
04:18:28 PM  1000   3424382  356.00   35.00    0.00    0.00  391.00     1  java
04:18:29 PM  1000   3424382  353.00   38.00    0.00    0.00  391.00     1  java
04:18:30 PM  1000   3424382  356.00   34.00    0.00    0.00  390.00     1  java
04:18:31 PM  1000   3424382  355.00   33.00    0.00    0.00  388.00     1  java
04:18:32 PM  1000   3424382  354.00   37.00    0.00    0.00  391.00     1  java
04:18:33 PM  1000   3424382  355.00   36.00    0.00    0.00  391.00     1  java
04:18:34 PM  1000   3424382  351.49   33.66    0.00    0.00  385.15     1  java
04:18:35 PM  1000   3424382  352.00   38.00    0.00    0.00  390.00     1  java
04:18:36 PM  1000   3424382  350.00   41.00    0.00    0.00  391.00     1  java
04:18:37 PM  1000   3424382  347.00   43.00    0.00    0.00  390.00     1  java
04:18:38 PM  1000   3424382  350.00   38.00    0.00    0.00  388.00     1  java
04:18:39 PM  1000   3424382  350.00   40.00    0.00    0.00  390.00     1  java
04:18:40 PM  1000   3424382  348.00   42.00    0.00    0.00  390.00     1  java
04:18:41 PM  1000   3424382  349.00   40.00    0.00    0.00  389.00     1  java
04:18:42 PM  1000   3424382  340.00   50.00    0.00    0.00  390.00     1  java
04:18:43 PM  1000   3424382  347.00   43.00    0.00    0.00  390.00     1  java
04:18:44 PM  1000   3424382  345.00   44.00    0.00    0.00  389.00     1  java
04:18:45 PM  1000   3424382  349.00   40.00    0.00    0.00  389.00     1  java
04:18:46 PM  1000   3424382  348.00   38.00    0.00    0.00  386.00     1  java
04:18:47 PM  1000   3424382  348.00   42.00    0.00    0.00  390.00     1  java
04:18:48 PM  1000   3424382  346.00   43.00    0.00    0.00  389.00     1  java
04:18:49 PM  1000   3424382  348.00   41.00    0.00    0.00  389.00     1  java
04:18:50 PM  1000   3424382  345.00   44.00    0.00    0.00  389.00     1  java
04:18:51 PM  1000   3424382  347.00   42.00    0.00    0.00  389.00     1  java
04:18:52 PM  1000   3424382  344.00   45.00    0.00    0.00  389.00     1  java
04:18:53 PM  1000   3424382  348.00   41.00    0.00    0.00  389.00     1  java
04:18:54 PM  1000   3424382  342.00   47.00    0.00    0.00  389.00     1  java
04:18:55 PM  1000   3424382  339.00   48.00    0.00    0.00  387.00     1  java
04:18:56 PM  1000   3424382  342.00   47.00    0.00    0.00  389.00     1  java
04:18:57 PM  1000   3424382  326.00   62.00    0.00    0.00  388.00     1  java
04:18:58 PM  1000   3424382  340.00   48.00    0.00    0.00  388.00     1  java
04:18:59 PM  1000   3424382  339.00   49.00    0.00    0.00  388.00     1  java
04:19:00 PM  1000   3424382  328.00   60.00    0.00    0.00  388.00     1  java
04:19:01 PM  1000   3424382  332.00   55.00    0.00    0.00  387.00     1  java
04:19:02 PM  1000   3424382  338.00   50.00    0.00    0.00  388.00     1  java
04:19:03 PM  1000   3424382  336.00   51.00    0.00    0.00  387.00     1  java
04:19:04 PM  1000   3424382  334.00   53.00    0.00    0.00  387.00     1  java
04:19:05 PM  1000   3424382  329.00   57.00    0.00    0.00  386.00     1  java
04:19:06 PM  1000   3424382  327.00   60.00    0.00    0.00  387.00     1  java
04:19:07 PM  1000   3424382  327.00   59.00    0.00    0.00  386.00     1  java
04:19:08 PM  1000   3424382  312.00   75.00    0.00    0.00  387.00     1  java
04:19:09 PM  1000   3424382  325.00   61.00    0.00    0.00  386.00     1  java
04:19:10 PM  1000   3424382  322.00   63.00    0.00    0.00  385.00     1  java
04:19:11 PM  1000   3424382  309.00   76.00    0.00    0.00  385.00     1  java
04:19:12 PM  1000   3424382  308.00   77.00    0.00    0.00  385.00     1  java
04:19:13 PM  1000   3424382  276.00  111.00    0.00    0.00  387.00     1  java
04:19:14 PM  1000   3424382  286.00  100.00    0.00    0.00  386.00     1  java
04:19:15 PM  1000   3424382  292.00   93.00    0.00    0.00  385.00     1  java
04:19:16 PM  1000   3424382  291.00   94.00    0.00    0.00  385.00     1  java
04:19:17 PM  1000   3424382  298.00   85.00    0.00    0.00  383.00     1  java
04:19:18 PM  1000   3424382  274.00  111.00    0.00    0.00  385.00     1  java
04:19:19 PM  1000   3424382  307.00   77.00    0.00    0.00  384.00     1  java
04:19:20 PM  1000   3424382  270.00  113.00    0.00    0.00  383.00     1  java
04:19:21 PM  1000   3424382  296.00   88.00    0.00    0.00  384.00     1  java
04:19:22 PM  1000   3424382  277.00  107.00    0.00    0.00  384.00     1  java
04:19:23 PM  1000   3424382  237.00  150.00    0.00    0.00  387.00     1  java
04:19:24 PM  1000   3424382  289.00   94.00    0.00    0.00  383.00     1  java
04:19:25 PM  1000   3424382  260.00  124.00    0.00    0.00  384.00     1  java
04:19:26 PM  1000   3424382  251.00  134.00    0.00    0.00  385.00     1  java
04:19:27 PM  1000   3424382  283.00  101.00    0.00    0.00  384.00     1  java
04:19:28 PM  1000   3424382  229.00  158.00    0.00    0.00  387.00     1  java
04:19:29 PM  1000   3424382  290.00   92.00    0.00    0.00  382.00     1  java
04:19:30 PM  1000   3424382  273.00  111.00    0.00    0.00  384.00     1  java
04:19:31 PM  1000   3424382  295.00   87.00    0.00    0.00  382.00     1  java
04:19:32 PM  1000   3424382  273.00  110.00    0.00    0.00  383.00     1  java
04:19:33 PM  1000   3424382  273.00  111.00    0.00    0.00  384.00     1  java
04:19:34 PM  1000   3424382  276.00  106.00    0.00    0.00  382.00     1  java
04:19:35 PM  1000   3424382  293.00   89.00    0.00    0.00  382.00     1  java
