Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

05:05:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:05:15 PM  1000   3465805  291.00    4.00    0.00    0.00  295.00     0  java
05:05:16 PM  1000   3465805  300.00    7.00    0.00    0.00  307.00     0  java
05:05:17 PM  1000   3465805  214.00   11.00    0.00    0.00  225.00     0  java
05:05:18 PM  1000   3465805  269.00    2.00    0.00    0.00  271.00     0  java
05:05:19 PM  1000   3465805   97.00    1.00    0.00    0.00   98.00     0  java
05:05:20 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:05:21 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:05:22 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:05:23 PM  1000   3465805  329.00   16.00    0.00    0.00  345.00     0  java
05:05:24 PM  1000   3465805  374.00   20.00    0.00    0.00  394.00     0  java
05:05:25 PM  1000   3465805  377.00   17.00    0.00    0.00  394.00     0  java
05:05:26 PM  1000   3465805  376.00   18.00    0.00    0.00  394.00     0  java
05:05:27 PM  1000   3465805  375.00   19.00    0.00    0.00  394.00     0  java
05:05:28 PM  1000   3465805  376.00   15.00    0.00    0.00  391.00     0  java
05:05:29 PM  1000   3465805  373.00   19.00    0.00    0.00  392.00     0  java
05:05:30 PM  1000   3465805  377.00   16.00    0.00    0.00  393.00     0  java
05:05:31 PM  1000   3465805  373.00   21.00    0.00    0.00  394.00     0  java
05:05:32 PM  1000   3465805  373.00   20.00    0.00    0.00  393.00     0  java
05:05:33 PM  1000   3465805  368.00   19.00    0.00    0.00  387.00     0  java
05:05:34 PM  1000   3465805  369.00   22.00    0.00    0.00  391.00     0  java
05:05:35 PM  1000   3465805  370.00   23.00    0.00    0.00  393.00     0  java
05:05:36 PM  1000   3465805  371.00   21.00    0.00    0.00  392.00     0  java
05:05:37 PM  1000   3465805  369.00   24.00    0.00    0.00  393.00     0  java
05:05:38 PM  1000   3465805  368.00   24.00    0.00    0.00  392.00     0  java
05:05:39 PM  1000   3465805  366.00   26.00    0.00    0.00  392.00     0  java
05:05:40 PM  1000   3465805  366.00   26.00    0.00    0.00  392.00     0  java
05:05:41 PM  1000   3465805  366.00   27.00    0.00    0.00  393.00     0  java
05:05:42 PM  1000   3465805  366.00   26.00    0.00    0.00  392.00     0  java
05:05:43 PM  1000   3465805  367.00   26.00    0.00    0.00  393.00     0  java
05:05:44 PM  1000   3465805  361.00   31.00    0.00    0.00  392.00     0  java
05:05:45 PM  1000   3465805  362.00   30.00    0.00    0.00  392.00     0  java
05:05:46 PM  1000   3465805  366.00   26.00    0.00    0.00  392.00     0  java
05:05:47 PM  1000   3465805  363.00   28.00    0.00    0.00  391.00     0  java
05:05:48 PM  1000   3465805  366.00   27.00    0.00    0.00  393.00     0  java
05:05:49 PM  1000   3465805  363.00   29.00    0.00    0.00  392.00     0  java
05:05:50 PM  1000   3465805  364.00   27.00    0.00    0.00  391.00     0  java
05:05:51 PM  1000   3465805  362.00   30.00    0.00    0.00  392.00     0  java
05:05:52 PM  1000   3465805  364.00   27.00    0.00    0.00  391.00     0  java
05:05:53 PM  1000   3465805  362.00   31.00    0.00    0.00  393.00     0  java
05:05:54 PM  1000   3465805  361.00   30.00    0.00    0.00  391.00     0  java
05:05:55 PM  1000   3465805  359.00   30.00    0.00    0.00  389.00     0  java
05:05:56 PM  1000   3465805  356.00   36.00    0.00    0.00  392.00     0  java
05:05:57 PM  1000   3465805  359.00   32.00    0.00    0.00  391.00     0  java
05:05:58 PM  1000   3465805  358.00   33.00    0.00    0.00  391.00     0  java
05:05:59 PM  1000   3465805  361.00   31.00    0.00    0.00  392.00     0  java
05:06:00 PM  1000   3465805  357.00   34.00    0.00    0.00  391.00     0  java
05:06:01 PM  1000   3465805  355.00   36.00    0.00    0.00  391.00     0  java
05:06:02 PM  1000   3465805  355.00   35.00    0.00    0.00  390.00     0  java
05:06:03 PM  1000   3465805  360.00   32.00    0.00    0.00  392.00     0  java
05:06:04 PM  1000   3465805  354.00   36.00    0.00    0.00  390.00     0  java
05:06:05 PM  1000   3465805  350.00   40.00    0.00    0.00  390.00     0  java
05:06:06 PM  1000   3465805  349.00   41.00    0.00    0.00  390.00     0  java
05:06:07 PM  1000   3465805  350.00   41.00    0.00    0.00  391.00     0  java
05:06:08 PM  1000   3465805  353.00   38.00    0.00    0.00  391.00     0  java
05:06:09 PM  1000   3465805  352.00   38.00    0.00    0.00  390.00     0  java
05:06:10 PM  1000   3465805  351.00   39.00    0.00    0.00  390.00     0  java
05:06:11 PM  1000   3465805  350.00   41.00    0.00    0.00  391.00     0  java
05:06:12 PM  1000   3465805  349.00   41.00    0.00    0.00  390.00     0  java
05:06:13 PM  1000   3465805  347.00   43.00    0.00    0.00  390.00     0  java
05:06:14 PM  1000   3465805  346.00   44.00    0.00    0.00  390.00     0  java
05:06:15 PM  1000   3465805  345.00   43.00    0.00    0.00  388.00     0  java
05:06:16 PM  1000   3465805  344.00   47.00    0.00    0.00  391.00     0  java
05:06:17 PM  1000   3465805  347.00   43.00    0.00    0.00  390.00     0  java
05:06:18 PM  1000   3465805  344.00   44.00    0.00    0.00  388.00     0  java
05:06:19 PM  1000   3465805  348.00   42.00    0.00    0.00  390.00     0  java
05:06:20 PM  1000   3465805  347.00   43.00    0.00    0.00  390.00     0  java
05:06:21 PM  1000   3465805  345.00   44.00    0.00    0.00  389.00     0  java
05:06:22 PM  1000   3465805  346.00   44.00    0.00    0.00  390.00     0  java
05:06:23 PM  1000   3465805  346.00   43.00    0.00    0.00  389.00     0  java
05:06:24 PM  1000   3465805  349.00   40.00    0.00    0.00  389.00     0  java
05:06:25 PM  1000   3465805  346.00   44.00    0.00    0.00  390.00     0  java
05:06:26 PM  1000   3465805  343.00   45.00    0.00    0.00  388.00     0  java
05:06:27 PM  1000   3465805  343.00   46.00    0.00    0.00  389.00     0  java
05:06:28 PM  1000   3465805  341.00   49.00    0.00    0.00  390.00     0  java
05:06:29 PM  1000   3465805  339.00   49.00    0.00    0.00  388.00     0  java
05:06:30 PM  1000   3465805  336.00   53.00    0.00    0.00  389.00     0  java
05:06:31 PM  1000   3465805  339.00   49.00    0.00    0.00  388.00     0  java
05:06:32 PM  1000   3465805  341.00   48.00    0.00    0.00  389.00     0  java
05:06:33 PM  1000   3465805  341.00   47.00    0.00    0.00  388.00     0  java
05:06:34 PM  1000   3465805  342.00   46.00    0.00    0.00  388.00     0  java
05:06:35 PM  1000   3465805  339.00   49.00    0.00    0.00  388.00     0  java
05:06:36 PM  1000   3465805  335.00   54.00    0.00    0.00  389.00     0  java
05:06:37 PM  1000   3465805  330.00   58.00    0.00    0.00  388.00     0  java
05:06:38 PM  1000   3465805  332.00   56.00    0.00    0.00  388.00     0  java
05:06:39 PM  1000   3465805  330.00   56.00    0.00    0.00  386.00     0  java
05:06:40 PM  1000   3465805  333.00   55.00    0.00    0.00  388.00     0  java
05:06:41 PM  1000   3465805  327.00   59.00    0.00    0.00  386.00     0  java
05:06:42 PM  1000   3465805  328.00   59.00    0.00    0.00  387.00     0  java
05:06:43 PM  1000   3465805  327.00   60.00    0.00    0.00  387.00     0  java
05:06:44 PM  1000   3465805  325.00   60.00    0.00    0.00  385.00     0  java
05:06:45 PM  1000   3465805  322.00   64.00    0.00    0.00  386.00     0  java
05:06:46 PM  1000   3465805  317.00   69.00    0.00    0.00  386.00     0  java
05:06:47 PM  1000   3465805  318.00   68.00    0.00    0.00  386.00     0  java
05:06:48 PM  1000   3465805  311.00   73.00    0.00    0.00  384.00     0  java
05:06:49 PM  1000   3465805  300.00   83.00    0.00    0.00  383.00     0  java
05:06:50 PM  1000   3465805  296.00   89.00    0.00    0.00  385.00     0  java
05:06:51 PM  1000   3465805  302.00   83.00    0.00    0.00  385.00     0  java
05:06:52 PM  1000   3465805  292.00   94.00    0.00    0.00  386.00     0  java
05:06:53 PM  1000   3465805  302.00   83.00    0.00    0.00  385.00     0  java
05:06:54 PM  1000   3465805  301.00   82.00    0.00    0.00  383.00     0  java
05:06:55 PM  1000   3465805  286.00  101.00    0.00    0.00  387.00     0  java
05:06:56 PM  1000   3465805  304.00   79.00    0.00    0.00  383.00     0  java
05:06:57 PM  1000   3465805  300.00   84.00    0.00    0.00  384.00     0  java
05:06:58 PM  1000   3465805  304.00   80.00    0.00    0.00  384.00     0  java
05:06:59 PM  1000   3465805  298.00   84.00    0.00    0.00  382.00     0  java
05:07:00 PM  1000   3465805  306.00   78.00    0.00    0.00  384.00     0  java
05:07:01 PM  1000   3465805  303.00   80.00    0.00    0.00  383.00     0  java
05:07:02 PM  1000   3465805  303.00   81.00    0.00    0.00  384.00     0  java
05:07:03 PM  1000   3465805  303.00   80.00    0.00    0.00  383.00     0  java
05:07:04 PM  1000   3465805  301.00   82.00    0.00    0.00  383.00     0  java
05:07:05 PM  1000   3465805  299.00   85.00    0.00    0.00  384.00     0  java
05:07:06 PM  1000   3465805  290.00   95.00    0.00    0.00  385.00     0  java
05:07:07 PM  1000   3465805  294.00   89.00    0.00    0.00  383.00     0  java
05:07:08 PM  1000   3465805  297.00   87.00    0.00    0.00  384.00     0  java
05:07:09 PM  1000   3465805  292.00   91.00    0.00    0.00  383.00     0  java
05:07:10 PM  1000   3465805  288.00   94.00    0.00    0.00  382.00     0  java
05:07:11 PM  1000   3465805  294.00   89.00    0.00    0.00  383.00     0  java
05:07:12 PM  1000   3465805  298.00   85.00    0.00    0.00  383.00     0  java
05:07:13 PM  1000   3465805  298.00   84.00    0.00    0.00  382.00     0  java
05:07:14 PM  1000   3465805  296.00   87.00    0.00    0.00  383.00     0  java
05:07:15 PM  1000   3465805  302.00   82.00    0.00    0.00  384.00     0  java
05:07:16 PM  1000   3465805  288.00   96.00    0.00    0.00  384.00     0  java
05:07:17 PM  1000   3465805  287.00   97.00    0.00    0.00  384.00     0  java
05:07:18 PM  1000   3465805  283.00  100.00    0.00    0.00  383.00     0  java
05:07:19 PM  1000   3465805  301.00   80.00    0.00    0.00  381.00     0  java
05:07:20 PM  1000   3465805  302.00   80.00    0.00    0.00  382.00     0  java
05:07:21 PM  1000   3465805  293.00   89.00    0.00    0.00  382.00     0  java
05:07:22 PM  1000   3465805  282.00  101.00    0.00    0.00  383.00     0  java
05:07:23 PM  1000   3465805  290.00   94.00    0.00    0.00  384.00     0  java
05:07:24 PM  1000   3465805  299.00   84.00    0.00    0.00  383.00     0  java
05:07:25 PM  1000   3465805  289.00   93.00    0.00    0.00  382.00     0  java
05:07:26 PM  1000   3465805  279.00  104.00    0.00    0.00  383.00     0  java
05:07:27 PM  1000   3465805  276.00  106.00    0.00    0.00  382.00     0  java
05:07:28 PM  1000   3465805  278.00  105.00    0.00    0.00  383.00     0  java
05:07:29 PM  1000   3465805  215.00   23.00    0.00    0.00  238.00     0  java
05:07:30 PM  1000   3465805  199.00    0.00    0.00    0.00  199.00     0  java
05:07:31 PM  1000   3465805  198.00    0.00    0.00    0.00  198.00     0  java
05:07:32 PM  1000   3465805  199.00    0.00    0.00    0.00  199.00     0  java
05:07:33 PM  1000   3465805  199.00    0.00    0.00    0.00  199.00     0  java
05:07:34 PM  1000   3465805  199.00    0.00    0.00    0.00  199.00     0  java
05:07:35 PM  1000   3465805  198.00    1.00    0.00    0.00  199.00     0  java
05:07:36 PM  1000   3465805  199.00    0.00    0.00    0.00  199.00     0  java
05:07:37 PM  1000   3465805  198.00    1.00    0.00    0.00  199.00     0  java
05:07:38 PM  1000   3465805    3.00    0.00    0.00    0.00    3.00     0  java
05:07:39 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:40 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:41 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:42 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:43 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:44 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:45 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:46 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:47 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:48 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:49 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:50 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:51 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:52 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:53 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:54 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:55 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:56 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:57 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:58 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:07:59 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:00 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:01 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:02 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:03 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:04 PM  1000   3465805  212.00  111.00    0.00    0.00  323.00     0  java
05:08:05 PM  1000   3465805  239.00  139.00    0.00    0.00  378.00     0  java
05:08:06 PM  1000   3465805  221.00  160.00    0.00    0.00  381.00     0  java
05:08:07 PM  1000   3465805  219.00  156.00    0.00    0.00  375.00     0  java
05:08:08 PM  1000   3465805  172.00  208.00    0.00    0.00  380.00     0  java
05:08:09 PM  1000   3465805  186.00  188.00    0.00    0.00  374.00     0  java
05:08:10 PM  1000   3465805  185.00  187.00    0.00    0.00  372.00     0  java
05:08:11 PM  1000   3465805  184.00  180.00    0.00    0.00  364.00     0  java
05:08:12 PM  1000   3465805  191.00  180.00    0.00    0.00  371.00     0  java
05:08:13 PM  1000   3465805  182.00  192.00    0.00    0.00  374.00     0  java
05:08:14 PM  1000   3465805  185.00  184.00    0.00    0.00  369.00     0  java
05:08:15 PM  1000   3465805  178.00  198.00    0.00    0.00  376.00     0  java
05:08:16 PM  1000   3465805  167.00  211.00    0.00    0.00  378.00     0  java
05:08:17 PM  1000   3465805  180.00  193.00    0.00    0.00  373.00     0  java
05:08:18 PM  1000   3465805  175.00  199.00    0.00    0.00  374.00     0  java
05:08:19 PM  1000   3465805  202.00  171.00    0.00    0.00  373.00     0  java
05:08:20 PM  1000   3465805  186.00  187.00    0.00    0.00  373.00     0  java
05:08:21 PM  1000   3465805  195.00  173.00    0.00    0.00  368.00     0  java
05:08:22 PM  1000   3465805  185.00  190.00    0.00    0.00  375.00     0  java
05:08:23 PM  1000   3465805  174.00  187.00    0.00    0.00  361.00     0  java
05:08:24 PM  1000   3465805  195.00  177.00    0.00    0.00  372.00     0  java
05:08:25 PM  1000   3465805  185.00  191.00    0.00    0.00  376.00     0  java
05:08:26 PM  1000   3465805  175.00  200.00    0.00    0.00  375.00     0  java
05:08:27 PM  1000   3465805  206.00  166.00    0.00    0.00  372.00     0  java
05:08:28 PM  1000   3465805  185.00  185.00    0.00    0.00  370.00     0  java
05:08:29 PM  1000   3465805  171.00  209.00    0.00    0.00  380.00     0  java
05:08:30 PM  1000   3465805  188.00  181.00    0.00    0.00  369.00     0  java
05:08:31 PM  1000   3465805  173.00  198.00    0.00    0.00  371.00     0  java
05:08:32 PM  1000   3465805  177.00  200.00    0.00    0.00  377.00     0  java
05:08:33 PM  1000   3465805  159.00  219.00    0.00    0.00  378.00     0  java
05:08:34 PM  1000   3465805  196.00  177.00    0.00    0.00  373.00     0  java
05:08:35 PM  1000   3465805  188.00  181.00    0.00    0.00  369.00     0  java
05:08:36 PM  1000   3465805  167.00  215.00    0.00    0.00  382.00     0  java
05:08:37 PM  1000   3465805  183.00  192.00    0.00    0.00  375.00     0  java
05:08:38 PM  1000   3465805  194.00  181.00    0.00    0.00  375.00     0  java
05:08:39 PM  1000   3465805  173.00  205.00    0.00    0.00  378.00     0  java
05:08:40 PM  1000   3465805   41.00   26.00    0.00    0.00   67.00     0  java
05:08:41 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
05:08:42 PM  1000   3465805    0.00    0.00    0.00    0.00    0.00     0  java
