Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

04:26:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:26:04 PM 100998   3429300    0.00    0.00    0.00    0.00    0.00     4  postgres
04:26:04 PM 100998   3429301    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3429303    0.00    0.00    0.00    0.00    0.00     4  postgres
04:26:04 PM 100998   3429304    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430219    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430248    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430249    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430250    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430251    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430252    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430254    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430255    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430257    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430258    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430259    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:04 PM 100998   3430260    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430261    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430262    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430263    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430265    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430266    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430267    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430271    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:04 PM 100998   3430273    0.00    0.00    0.00    0.00    0.00     6  postgres

04:26:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:26:05 PM 100998   3429300    0.00    0.00    0.00    0.00    0.00     4  postgres
04:26:05 PM 100998   3429301    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3429303    0.00    0.00    0.00    0.00    0.00     4  postgres
04:26:05 PM 100998   3429304    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430219    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430248    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430249    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430250    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430251    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430252    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430254    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430255    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430257    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430258    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430259    0.00    0.00    0.00    0.00    0.00     6  postgres
04:26:05 PM 100998   3430260    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430261    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430262    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430263    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430265    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430266    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430267    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430271    0.00    0.00    0.00    0.00    0.00     5  postgres
04:26:05 PM 100998   3430273    0.00    0.00    0.00    0.00    0.00     6  postgres

