Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

04:45:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:21 PM 100998   3446936    0.00    0.00    0.00    0.00    0.00     4  postgres
04:45:21 PM 100998   3446937    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3446939    0.00    0.00    0.00    0.00    0.00     6  postgres
04:45:21 PM 100998   3446940    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447863    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447884    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447885    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447886    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447888    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447889    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447891    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447892    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447893    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447894    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447895    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447896    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447897    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447899    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447900    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447901    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447905    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447906    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447909    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:21 PM 100998   3447915    0.00    0.00    0.00    0.00    0.00     5  postgres

04:45:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:22 PM 100998   3446936    0.00    0.00    0.00    0.00    0.00     4  postgres
04:45:22 PM 100998   3446937    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3446939    0.00    0.00    0.00    0.00    0.00     6  postgres
04:45:22 PM 100998   3446940    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447863    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447884    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447885    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447886    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447888    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447889    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447891    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447892    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447893    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447894    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447895    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447896    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447897    0.00    0.00    0.00    0.00    0.00     5  postgres
04:45:22 PM 100998   3447899    0.00    0.00    0.00    0.00    0.00     5  postgres
