procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 391348608      0 293572    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 391293664      0 338616    0    0 45368     0 3774 3755  0  0 99  0  0
 1  0      0 391277472      0 338676    0    0    48     0 6444 3429  0  0 99  0  0
 3  0      0 391248736      0 340528    0    0  2040     8 6680 4854  2  1 98  0  0
 2  1      0 391212000      0 356112    0    0 17508     8 5184 6648  3  0 96  0  0
 2  0      0 391166912      0 365788    0    0 14592    32 4473 5823  2  0 97  0  0
 0  0      0 391145024      0 367892    0    0  1764     4 1561 1290  1  0 99  0  0
38  0      0 391055424      0 370212    0    0  2240     0 6168 12613  3  0 96  0  0
19  0      0 390949600      0 371276    0    0   892     4 10125 19271  6  1 93  0  0
18  0      0 390918464      0 371396    0    0     0    32 6909 17822  6  1 93  0  0
23  0      0 390885952      0 371412    0    0     8    32 7188 17238  7  1 93  0  0
34  0      0 390847872      0 371436    0    0    16   120 7598 18597  7  1 92  0  0
25  0      0 390807072      0 371504    0    0    60     4 7574 22243  7  1 93  0  0
32  0      0 390746848      0 371512    0    0     0     4 7879 23790  7  1 93  0  0
24  0      0 390746080      0 371516    0    0     0     8 7973 30047  6  1 93  0  0
15  0      0 390741056      0 371524    0    0     0     0 8417 32593  6  1 93  0  0
21  0      0 390731264      0 371604    0    0     0     4 8791 34913  6  1 93  0  0
22  0      0 390727968      0 371608    0    0    12    40 8791 37756  6  1 93  0  0
17  0      0 390717152      0 371632    0    0     0     4 9246 41199  6  1 93  0  0
17  0      0 390716416      0 371844    0    0   260     0 10635 48837  6  1 93  0  0
23  0      0 390715168      0 371852    0    0     0     8 12832 59594  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 390706368      0 371856    0    0     0    76 17686 83343  5  2 92  0  0
44  0      0 390703648      0 371864    0    0     0     4 20310 89112  5  2 92  0  0
33  0      0 390698688      0 371868    0    0     0    40 22703 101854  5  3 92  0  0
25  0      0 390697472      0 371876    0    0     0     8 23566 105677  5  3 92  0  0
22  0      0 390690752      0 371884    0    0     0     4 24526 111406  5  3 92  0  0
24  0      0 390669152      0 371892    0    0     0     0 21865 105642  5  3 92  0  0
14  0      0 390661856      0 371900    0    0     0     0 20787 108443  5  3 92  0  0
18  0      0 390661440      0 371904    0    0    36  1180 23286 117904  5  3 92  0  0
19  0      0 390646784      0 371980    0    0     0    44 22846 112969  5  3 92  0  0
 9  0      0 390641280      0 371984    0    0    16   192 24442 118339  5  3 92  0  0
13  0      0 390640544      0 371992    0    0     0    76 24539 125780  5  3 92  0  0
22  0      0 390637856      0 372000    0    0     0     8 25033 120339  5  3 92  0  0
16  0      0 390638976      0 372004    0    0     0     0 25317 124857  5  3 92  0  0
13  0      0 390638720      0 372016    0    0     0     4 24226 126736  5  4 92  0  0
28  0      0 390638016      0 372020    0    0     0    40 25421 131411  5  4 92  0  0
17  0      0 390633408      0 372096    0    0     0     4 25745 128827  5  4 92  0  0
27  0      0 390619328      0 372100    0    0     0     0 27476 139723  4  4 92  0  0
27  0      0 390617984      0 372108    0    0    36   316 27021 149546  4  4 91  0  0
