procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 390646400      0 280600    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390644384      0 326648    0    0 46108     0 3814 4126  0  0 100  0  0
 1  0      0 390630048      0 326696    0    0    48     0 6161 3378  0  1 99  0  0
 3  0      0 390553536      0 367272    0    0 41136     4 6993 5471  1  0 98  0  0
 3  0      0 390523136      0 383412    0    0 17488    16 5387 6610  3  0 96  0  0
 2  1      0 390469728      0 395508    0    0 16380    32 4246 5996  2  0 97  0  0
 0  0      0 390443872      0 399544    0    0  4708     4 2418 1971  2  0 98  0  0
13  0      0 390313344      0 406376    0    0  6372     0 8228 29576  2  1 96  0  0
21  0      0 390269120      0 409024    0    0  2596     4 24428 103869  6  3 91  0  0
26  0      0 390270496      0 409128    0    0    96     0 26590 118795  6  4 90  0  0
25  0      0 390278464      0 409204    0    0    68     4 27481 125199  5  3 92  0  0
24  0      0 390278272      0 409252    0    0    40    44 26863 129781  5  3 92  0  0
20  0      0 390280992      0 409316    0    0    60     4 27485 129072  5  3 92  0  0
26  0      0 390286144      0 409384    0    0    76    12 27352 124444  5  3 92  0  0
30  0      0 390290336      0 409388    0    0     0     0 28422 127588  5  3 92  0  0
20  0      0 390291008      0 409396    0    0     0     0 27296 128585  5  3 92  0  0
14  0      0 390288800      0 410660    0    0     4     4 27096 126355  5  3 92  0  0
31  0      0 390292128      0 410664    0    0     0    40 27121 127835  5  3 92  0  0
24  0      0 390296000      0 411512    0    0     0     4 26546 124799  5  3 92  0  0
20  0      0 390298784      0 411516    0    0     0     0 27185 127463  5  3 92  0  0
24  0      0 390308544      0 411544    0    0    20     8 26311 124721  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 390315776      0 411548    0    0     0     0 26953 124098  5  3 92  0  0
20  0      0 390318944      0 411556    0    0     0     4 27001 126917  5  3 92  0  0
20  0      0 390319488      0 411560    0    0    16   228 26712 122722  4  3 92  0  0
18  0      0 390320576      0 411568    0    0     0     4 25547 123041  4  3 92  0  0
15  0      0 390320128      0 411576    0    0     0     0 26843 122501  5  3 92  0  0
26  0      0 390322240      0 411656    0    0     0     4 29683 127176  5  3 92  0  0
17  0      0 390321824      0 411664    0    0     8  1824 28767 122911  4  3 92  0  0
17  0      0 390323712      0 411668    0    0     4    84 28176 123686  4  3 92  0  0
16  0      0 390326784      0 411668    0    0     0   368 28967 125935  5  3 92  0  0
30  0      0 390329952      0 411636    0    0     0     4 27371 123908  4  3 92  0  0
28  0      0 390324704      0 411636    0    0     0     0 26259 125058  5  3 92  0  0
 1  0      0 390332224      0 411636    0    0     0     8 26496 125780  5  3 92  0  0
21  0      0 390325888      0 411636    0    0     0     0 26276 125145  5  3 92  0  0
20  0      0 390327616      0 411636    0    0     0     4 26300 124403  5  3 92  0  0
11  0      0 390329760      0 411636    0    0     0    40 26391 124407  4  3 92  0  0
16  0      0 390330848      0 411704    0    0     0     4 27971 125910  5  4 92  0  0
29  0      0 390329664      0 411704    0    0     0     8 26290 123284  5  3 92  0  0
17  0      0 390330496      0 411704    0    0     0     4 26726 124454  4  3 92  0  0
37  0      0 390333408      0 411776    0    0    68   300 25779 127814  5  3 92  0  0
32  0      0 390337600      0 411784    0    0     0     4 27365 123303  4  3 92  0  0
30  0      0 390338976      0 411792    0    0     0    44 27348 124284  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 390338048      0 411800    0    0     0     4 26974 124833  4  3 92  0  0
17  0      0 390343424      0 411816    0    0     0     0 26719 124978  4  3 92  0  0
23  0      0 390339072      0 411820    0    0     0     8 26997 126725  5  3 92  0  0
17  0      0 390340320      0 411828    0    0     0     0 26486 124085  4  3 92  0  0
28  0      0 390334208      0 411900    0    0     0     8 27045 123939  4  3 92  0  0
28  0      0 390333792      0 411908    0    0     0    40 26694 124186  5  3 92  0  0
14  0      0 390329888      0 411916    0    0     4    60 26116 125186  4  3 92  0  0
31  0      0 390333920      0 411920    0    0    16     0 26474 124066  5  3 92  0  0
37  0      0 390334848      0 411920    0    0     0     4 26513 124020  5  3 92  0  0
 1  0      0 390338016      0 411920    0    0     0     0 25793 122065  5  3 92  0  0
21  0      0 390332800      0 411920    0    0     0     4 27158 125410  5  3 92  0  0
 4  0      0 390328864      0 411920    0    0     0    40 25577 125508  5  3 92  0  0
22  0      0 390328704      0 411920    0    0     0     4 25855 125202  4  3 92  0  0
30  0      0 390332352      0 411920    0    0     0    12 25976 125813  5  3 92  0  0
23  0      0 390328480      0 411988    0    0     4     0 26548 124904  4  3 92  0  0
26  0      0 390328000      0 411988    0    0     0     0 27091 124142  4  3 92  0  0
20  0      0 390334208      0 411988    0    0     0   348 26840 124910  4  3 92  0  0
26  0      0 390328800      0 411988    0    0     0   196 26325 125626  4  3 92  0  0
13  0      0 390332288      0 412064    0    0     0     4 25673 124673  4  3 92  0  0
33  0      0 390330592      0 412072    0    0     0     8 25844 125193  5  3 92  0  0
30  0      0 390321600      0 412076    0    0     0     0 25956 124114  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 390322080      0 412084    0    0     0     0 26662 127731  5  3 92  0  0
22  0      0 390324608      0 412092    0    0     0     4 26144 124642  5  3 92  0  0
10  0      0 390326976      0 412096    0    0     0    40 26398 125684  5  3 92  0  0
21  0      0 390328992      0 412104    0    0     0     4 27031 125376  4  3 92  0  0
21  0      0 390334336      0 412116    0    0    20     0 25466 125545  5  3 92  0  0
