procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 391437792      0 292392    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 391378880      0 338004    0    0 45972    72 3162 3627  0  0 100  0  0
 1  0      0 391357504      0 338116    0    0    56   940 6567 3998  0  0 99  0  0
 3  1      0 391338944      0 340064    0    0  2044    12 6789 4841  2  0 98  0  0
 3  0      0 391324608      0 356540    0    0 18116     4 5216 6876  3  0 96  0  0
 3  0      0 391311776      0 365836    0    0 14916    32 4522 5653  2  0 97  0  0
 0  0      0 391283104      0 370572    0    0  1488     4 1584 1178  1  0 99  0  0
 5  0      0 391244608      0 373568    0    0  2784   540 7170 16298  3  0 96  0  0
 8  0      0 391192448      0 374168    0    0   368     4 8664 20067  6  0 93  0  0
 8  0      0 391132672      0 374176    0    0     0    52 9040 27946  6  1 93  0  0
10  0      0 391038688      0 374192    0    0     8    36 11010 34655  7  1 92  0  0
10  0      0 390929376      0 374216    0    0    20   548 15559 53190  7  1 92  0  0
 9  0      0 390902912      0 374276    0    0    52     4 26603 92284  7  2 92  0  0
 9  0      0 390897568      0 377232    0    0  3160    28 33708 120712  6  2 92  0  0
 7  0      0 390893920      0 377236    0    0     0     8 36334 131503  6  2 92  0  0
 7  0      0 390893952      0 377244    0    0    32   188 35877 138704  6  2 92  0  0
 9  0      0 390889280      0 377316    0    0     0     4 35071 143075  6  2 92  0  0
 8  0      0 390887712      0 377396    0    0     0    40 34665 159720  6  2 92  0  0
 8  0      0 390884480      0 377408    0    0     0     4 38419 167002  6  3 92  0  0
 9  0      0 390883168      0 377424    0    0    12     0 51621 201779  6  3 91  0  0
10  0      0 390878336      0 377432    0    0     0     8 64321 228824  6  4 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390876800      0 377436    0    0     0    72 83649 268317  6  4 90  0  0
 9  0      0 390866336      0 377444    0    0     0     4 89645 335387  5  5 89  0  0
 9  0      0 390867488      0 377440    0    0     0    40 94407 318648  5  5 89  0  0
 7  0      0 390872064      0 377448    0    0     0     4 94966 334838  5  5 89  0  0
11  0      0 390871040      0 377456    0    0     0     4 94116 346735  5  5 89  0  0
 8  0      0 390872704      0 377532    0    0     0     0 97814 345285  5  5 89  0  0
 5  0      0 390882496      0 377540    0    0     8    20 91566 345288  5  6 89  0  0
 7  0      0 390888416      0 377540    0    0     4    36 93908 353080  5  5 89  0  0
10  0      0 390886336      0 377540    0    0     0    48 91886 352003  5  5 89  0  0
11  0      0 390887712      0 377540    0    0     0     4 91512 360074  5  5 89  0  0
10  0      0 390888032      0 377540    0    0     0     0 91410 356131  5  5 89  0  0
 9  0      0 390888256      0 377540    0    0     0    84 92421 353086  5  5 89  0  0
 6  0      0 390893408      0 377540    0    0     0     0 92512 353576  5  5 89  0  0
10  0      0 390896608      0 377540    0    0     0     4 95565 348008  5  6 89  0  0
 8  0      0 390897920      0 377540    0    0     0    40 95237 350321  5  6 89  0  0
 5  0      0 390897312      0 377540    0    0     0     4 95773 347336  5  6 89  0  0
 8  0      0 390898912      0 377540    0    0     0     0 93209 342088  5  5 89  0  0
 9  0      0 390905216      0 377680    0    0    48   312 95768 342451  5  5 89  0  0
 8  0      0 390908736      0 377684    0    0    16   368 95318 347251  5  6 89  0  0
 6  0      0 390905664      0 377692    0    0     0   620 91054 350068  5  5 89  0  0
 9  0      0 390905792      0 377700    0    0     0   116 94979 350848  5  6 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 390907104      0 377704    0    0     0     4 94712 353382  5  6 89  0  0
 9  0      0 390910304      0 377720    0    0     0     0 95659 343382  5  5 89  0  0
 8  0      0 390906848      0 377724    0    0     0    12 93721 344970  5  5 89  0  0
 6  0      0 390908096      0 377732    0    0     0     0 96904 346426  5  5 89  0  0
 8  0      0 390903584      0 377808    0    0     0     4 92475 342303  5  6 89  0  0
 6  0      0 390900384      0 377816    0    0     0    40 91622 353738  5  5 89  0  0
 7  0      0 390904928      0 377828    0    0     0    12 93079 355993  5  5 89  0  0
10  0      0 390905312      0 377768    0    0     0     4 94939 344445  5  6 89  0  0
 8  0      0 390902464      0 377776    0    0     0     0 91815 356462  5  5 89  0  0
 8  0      0 390898560      0 377784    0    0     0    80 96823 348415  5  6 89  0  0
 9  0      0 390897792      0 377792    0    0     0     8 94115 354706  5  5 89  0  0
11  0      0 390895168      0 377796    0    0     0    40 95582 351856  5  5 89  0  0
 7  0      0 390894144      0 377804    0    0     0     4 93604 352452  5  6 89  0  0
 9  0      0 390890336      0 377652    0    0     0     0 89666 355837  5  5 89  0  0
 8  0      0 390886272      0 377656    0    0     0     8 91803 352143  5  5 89  0  0
