procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 391167808      0 285672    0    0     1     1    0    0  0  0 100  0  0
 1  0      0 391052032      0 348872    0    0 62884     0 8834 7598  4  0 95  1  0
 3  0      0 390979488      0 353176    0    0  4416   836 9395 6686  3  1 96  0  0
 2  0      0 390931584      0 357476    0    0  4244     0 10784 5354  5  1 95  0  0
 3  0      0 390938208      0 370264    0    0 13540    36 5365 6901  3  0 96  0  0
 2  0      0 390864160      0 382456    0    0 15316    60 4242 5828  2  0 97  0  0
 0  0      0 390814816      0 385804    0    0  5200     4 2581 2522  2  0 98  0  0
17  0      0 390769408      0 387736    0    0  1592   628 4101 9255  3  0 97  0  0
54  0      0 390754336      0 388424    0    0   692    12 9364 37123  6  1 93  0  0
61  0      0 390696512      0 388500    0    0    48     4 9247 39485  6  1 93  0  0
32  0      0 390695520      0 388548    0    0    40     4 9882 25631  7  1 92  0  0
61  0      0 390695264      0 388556    0    0     0    44 9764 49270  7  1 93  0  0
61  0      0 390695040      0 388620    0    0    56     4 9370 26776  6  1 93  0  0
79  0      0 390692768      0 388764    0    0    88    16 9978 41558  6  1 93  0  0
57  0      0 390672352      0 388772    0    0     0     0 10022 52819  6  1 93  0  0
57  0      0 390671584      0 388780    0    0     0    44 10949 29386  6  1 93  0  0
33  0      0 390668160      0 391340    0    0     8     4 11184 72412  6  1 93  0  0
63  0      0 390667904      0 391344    0    0     0    40 11028 30522  6  1 93  0  0
38  0      0 390667296      0 391356    0    0     0     4 11219 30379  6  1 93  0  0
37  0      0 390662240      0 391360    0    0     0    12 11083 30611  6  1 93  0  0
60  0      0 390662240      0 391372    0    0     0    16 11118 31179  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
47  0      0 390662240      0 391376    0    0     0     0 11674 32774  6  1 93  0  0
39  0      0 390662016      0 391388    0    0     0     4 11890 32986  6  1 93  0  0
56  0      0 390661536      0 391392    0    0     0    40 12163 33829  6  1 93  0  0
41  0      0 390656032      0 391468    0    0    16     4 11909 33060  6  1 93  0  0
64  0      0 390655776      0 391508    0    0     0     0 12204 34520  6  1 93  0  0
