procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 391328544      0 298168    0    0     1     1    0    0  0  0 100  0  0
 1  0      0 391210912      0 354228    0    0 55648     0 8102 7458  4  0 96  0  0
 3  0      0 391117216      0 357684    0    0  3560   120 10754 6434  4  1 95  0  0
 4  0      0 391046464      0 360220    0    0  2472     0 10912 5219  5  1 94  0  0
 3  0      0 391029344      0 374808    0    0 16284    20 5480 6579  3  0 96  0  0
 1  0      0 390971680      0 384904    0    0 15624    32 4499 6211  2  0 97  0  0
 0  0      0 390953536      0 386740    0    0  1448     4 1429 1273  1  0 99  0  0
18  0      0 390909376      0 391344    0    0  2328   328 5380 12865  3  0 96  0  0
44  0      0 390899040      0 391600    0    0    20    24 9383 30811  6  1 93  0  0
38  0      0 390851168      0 391764    0    0    48     4 9838 24992  7  1 93  0  0
47  0      0 390849664      0 391860    0    0    40     4 10087 25815  7  1 93  0  0
38  0      0 390848640      0 391868    0    0     0    44 9996 38037  7  1 92  0  0
54  0      0 390848128      0 391932    0    0    60   560 10627 30043  6  1 93  0  0
57  0      0 390846880      0 391996    0    0    88    52 10223 50701  6  1 93  0  0
51  0      0 390826240      0 392004    0    0     0    48 10700 28698  6  1 93  0  0
69  0      0 390826464      0 392012    0    0     0     0 10761 29975  6  1 93  0  0
10  0      0 390826208      0 392024    0    0     0     4 10489 34642  6  1 93  0  0
68  0      0 390825696      0 392096    0    0     0    72 11260 30157  6  1 93  0  0
50  0      0 390825952      0 392096    0    0     0     4 10928 37772  6  1 93  0  0
40  0      0 390818144      0 392096    0    0     0     0 10703 29359  6  1 93  0  0
63  0      0 390818400      0 392096    0    0     0    16 11608 32020  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
55  0      0 390818528      0 392096    0    0     0     0 11532 31704  6  1 93  0  0
60  0      0 390818304      0 392096    0    0     0    28 11881 33063  6  1 93  0  0
48  0      0 390814528      0 392096    0    0     0    40 12007 33570  6  1 93  0  0
