procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390324928      0 339980    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390303040      0 385876    0    0 46236     0 3686 3952  0  0 99  0  0
 1  0      0 390302272      0 385984    0    0    72  1032 6613 4071  0  1 99  0  0
 3  0      0 390227680      0 426704    0    0 41092    36 6989 5484  1  0 98  0  0
 2  0      0 390162176      0 442592    0    0 17424     4 5337 6684  3  0 96  0  0
 3  0      0 390091392      0 454628    0    0 16652    32 4332 6017  2  0 97  0  0
 0  0      0 390041216      0 458836    0    0  5052     4 2419 2063  1  0 98  0  0
46  0      0 389964704      0 465164    0    0  6356     0 7589 28226  2  1 97  0  0
37  0      0 389962816      0 465680    0    0   132   560 23878 525928  6  3 91  0  0
49  0      0 389964160      0 465728    0    0    40     4 25385 296203  6  3 91  0  0
27  0      0 389963520      0 466024    0    0   396     4 25217 227505  5  3 92  0  0
 1  0      0 389966560      0 466520    0    0   444    44 23041 651501  4  3 92  0  0
58  0      0 389970944      0 466772    0    0   296     4 24515 131090  5  3 92  0  0
77  0      0 389943904      0 466904    0    0    40   196 24181 130481  5  3 92  0  0
38  0      0 389945664      0 466996    0    0    92    16 23524 524171  4  3 92  0  0
49  0      0 389950848      0 467012    0    0   100     0 22641 847445  4  4 92  0  0
25  0      0 389958048      0 467200    0    0    20     4 24910 274927  5  3 92  0  0
32  0      0 389966912      0 467220    0    0    68    40 22900 185609  5  3 92  0  0
34  0      0 389971808      0 467284    0    0     0     4 23970 652654  4  3 92  0  0
25  0      0 389982528      0 467288    0    0     0     0 22927 1196810  3  4 93  0  0
44  0      0 389986656      0 467300    0    0     0    16 25966 244172  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
51  0      0 389983168      0 467304    0    0     0     0 23775 498580  4  3 92  0  0
32  0      0 389985344      0 467316    0    0     0     4 23728 597649  4  3 92  0  0
35  0      0 389993792      0 467320    0    0    68    40 22075 593695  4  3 93  0  0
63  0      0 389982976      0 467320    0    0    40     4 24216 330302  4  3 92  0  0
36  0      0 389971424      0 467428    0    0     0    16 24948 166032  4  3 92  0  0
39  0      0 389974432      0 467428    0    0     0     0 22952 265167  4  3 92  0  0
41  0      0 389980800      0 467428    0    0     0     0 23198 290755  4  3 92  0  0
39  0      0 389986976      0 467428    0    0     8    20 23806 190532  5  3 92  0  0
39  0      0 389994048      0 467484    0    0    56    44 22174 483389  4  3 93  0  0
39  0      0 389996512      0 467484    0    0     0     4 24535 659893  4  4 92  0  0
40  0      0 389995392      0 467484    0    0     0     0 24799 138377  4  3 92  0  0
